Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 2386921, 2232162, 135956, 7965938
1, 891961, 91798, 449080, 3100048
2, 806564, 92499, 740133, 2054859
3, 756853, 92525, 10797715, 1549986
4, 724228, 92525, 7877116, 1159177
5, 689640, 92289, 0, 846005
6, 660023, 91605, 0, 619113
7, 639051, 92433, 0, 464184
8, 613260, 92214, 0, 360510
9, 588876, 91208, 0, 287742
10, 561645, 91919, 0, 236484
11, 536766, 91123, 0, 195499
12, 512505, 90366, 0, 164324
13, 494844, 90023, 0, 138790
14, 476575, 89897, 0, 116830
15, 456754, 89642, 0, 100498
16, 434850, 89693, 0, 85799
17, 417134, 88084, 0, 73089
18, 398635, 88974, 0, 62919
19, 377268, 87120, 0, 54453
20, 360319, 87099, 0, 46997
21, 341969, 86799, 0, 40307
22, 325585, 85500, 0, 35036
23, 313239, 85148, 0, 30737
24, 307691, 85769, 0, 26324
25, 298549, 84876, 0, 22957
26, 285848, 84438, 0, 19945
27, 272237, 83576, 0, 17445
28, 260795, 83437, 0, 15289
29, 250568, 83747, 0, 13348
30, 236476, 83266, 0, 11735
31, 229530, 82421, 0, 9989
32, 220164, 82445, 0, 8776
33, 214975, 81960, 0, 7678
34, 206100, 81704, 0, 6876
35, 194708, 81422, 0, 5899
36, 185833, 81035, 0, 5220
37, 172985, 80844, 0, 4688
38, 165869, 80403, 0, 4031
39, 156637, 79386, 0, 3613
40, 150322, 79697, 0, 3160
41, 143482, 78585, 0, 2764
42, 135938, 78474, 0, 2461
43, 130030, 77514, 0, 2181
44, 121688, 77327, 0, 1851
45, 114433, 76771, 0, 1726
46, 105482, 76976, 0, 1410
47, 95708, 76450, 0, 1318
48, 86612, 76743, 0, 1121
49, 78055, 76698, 0, 1012
50, 68457, 76086, 0, 899
51, 61112, 75513, 0, 782
52, 53759, 75316, 0, 723
53, 44418, 74679, 0, 613
54, 36335, 74541, 0, 544
55, 30994, 74466, 0, 458
56, 25327, 73845, 0, 413
57, 21541, 73614, 0, 398
58, 16851, 73545, 0, 351
59, 13699, 73461, 0, 315
60, 10945, 72818, 0, 229
61, 7931, 72256, 0, 218
62, 6462, 72286, 0, 197
63, 5018, 71732, 0, 170
64, 3456, 71194, 0, 1476
65, 2642, 71266, 0, 11
66, 1761, 70933, 0, 6
67, 1236, 71115, 0, 5
