Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 2410426, 2255138, 136939, 7968767
1, 901552, 92681, 454278, 3098528
2, 814317, 93472, 750664, 2058834
3, 764115, 93613, 10779390, 1546706
4, 726987, 93993, 7878729, 1157840
5, 695028, 93459, 0, 846726
6, 663699, 93672, 0, 619555
7, 636651, 92278, 0, 463791
8, 605478, 92334, 0, 360195
9, 571300, 91943, 0, 288364
10, 550297, 92379, 0, 235907
11, 528746, 91178, 0, 195746
12, 502819, 91731, 0, 164488
13, 484382, 91005, 0, 138613
14, 469686, 90556, 0, 117435
15, 448879, 90527, 0, 100072
16, 431855, 89907, 0, 85022
17, 413292, 89518, 0, 73254
18, 396658, 89274, 0, 63109
19, 379410, 88499, 0, 54168
20, 358222, 88281, 0, 46838
21, 338885, 88107, 0, 40305
22, 326607, 87181, 0, 34860
23, 316054, 87005, 0, 30437
24, 304173, 85540, 0, 26563
25, 292903, 85548, 0, 22836
26, 280751, 85230, 0, 20175
27, 269203, 84828, 0, 17303
28, 257241, 83746, 0, 15153
29, 245983, 83797, 0, 13087
30, 239995, 83637, 0, 11615
31, 231599, 82514, 0, 10155
32, 224465, 82296, 0, 8803
33, 215861, 81820, 0, 7779
34, 207934, 81242, 0, 6848
35, 198763, 81519, 0, 5978
36, 188349, 81295, 0, 5272
37, 176927, 80770, 0, 4570
38, 166689, 80182, 0, 4052
39, 159596, 79924, 0, 3536
40, 153190, 80010, 0, 3117
41, 143248, 79033, 0, 2735
42, 135318, 79094, 0, 2413
43, 129836, 78346, 0, 2153
44, 121349, 77896, 0, 1874
45, 111581, 77322, 0, 1628
46, 103860, 76485, 0, 1452
47, 96293, 76464, 0, 1294
48, 87664, 75944, 0, 1143
49, 80936, 76168, 0, 1011
50, 72794, 75381, 0, 897
51, 63996, 75834, 0, 737
52, 55190, 75446, 0, 687
53, 45746, 75126, 0, 584
54, 38602, 75066, 0, 574
55, 32260, 73091, 0, 496
56, 27596, 73740, 0, 437
57, 23226, 73563, 0, 348
58, 20191, 72347, 0, 361
59, 16450, 72423, 0, 284
60, 12249, 72296, 0, 267
61, 9358, 72035, 0, 243
62, 7184, 71336, 0, 217
63, 5244, 70948, 0, 188
64, 3419, 70700, 0, 1513
65, 2318, 70630, 0, 9
66, 1708, 69742, 0, 6
67, 1028, 68990, 0, 8
68, 770, 68972, 0, 4
69, 504, 68714, 0, 4
70, 437, 68907, 0, 3
71, 274, 67637, 0, 4
72, 125, 67180, 0, 1
73, 156, 66943, 0, 1
74, 99, 67544, 0, 3
75, 22, 66811, 0, 0
76, 2, 66288, 0, 4
77, 0, 65685, 0, 1
78, 0, 66328, 0, 1
79, 0, 65928, 0, 2
80, 0, 64863, 0, 0
81, 0, 65496, 0, 1
82, 0, 65069, 0, 0
83, 0, 65363, 0, 0
84, 0, 63951, 0, 0
85, 0, 64701, 0, 0
86, 0, 63946, 0, 1
87, 0, 62868, 0, 1
88, 0, 62924, 0, 0
89, 0, 62066, 0, 1
90, 0, 62125, 0, 2
91, 0, 61579, 0, 0
92, 0, 61343, 0, 1
93, 0, 60593, 0, 0
94, 0, 60531, 0, 1
