Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.117444, 0.109878, 0.0066995, 0.39931
1, 0.0439587, 0.004478, 0.0222402, 0.154884
2, 0.0397725, 0.0045269, 0.0364686, 0.102415
3, 0.0374883, 0.0045372, 0.539682, 0.0772464
4, 0.0357964, 0.00456265, 0.394909, 0.0576513
5, 0.0343366, 0.0045786, 0, 0.04232
6, 0.0330716, 0.004534, 0, 0.0308956
7, 0.0316656, 0.0045527, 0, 0.0231572
8, 0.0301538, 0.0045215, 0, 0.0180137
9, 0.0285811, 0.0045115, 0, 0.0143695
10, 0.0273215, 0.0044652, 0, 0.0118348
11, 0.0262918, 0.0044794, 0, 0.0097717
12, 0.0256235, 0.0044539, 0, 0.00824445
13, 0.0250126, 0.0044684, 0, 0.00697655
14, 0.0240809, 0.0044494, 0, 0.00588035
15, 0.0230799, 0.0044208, 0, 0.0050178
16, 0.0221645, 0.0043854, 0, 0.0042934
17, 0.0212391, 0.0044076, 0, 0.003664
18, 0.0200706, 0.00433665, 0, 0.0031432
19, 0.0191677, 0.0043612, 0, 0.0027293
20, 0.0183111, 0.0043127, 0, 0.00234995
21, 0.0175103, 0.0043044, 0, 0.00203005
22, 0.0168139, 0.0043122, 0, 0.00175265
23, 0.0159776, 0.00428805, 0, 0.0015231
24, 0.0153761, 0.0042785, 0, 0.0013241
25, 0.0147274, 0.0042631, 0, 0.00113145
26, 0.0143077, 0.0042687, 0, 0.00101315
27, 0.0135463, 0.00420265, 0, 0.0008718
28, 0.0130446, 0.00422365, 0, 0.000758
29, 0.0125414, 0.00420545, 0, 0.000666
30, 0.0120394, 0.00413925, 0, 0.0005762
31, 0.0113822, 0.0041289, 0, 0.00050415
32, 0.0110277, 0.0041148, 0, 0.0004497
33, 0.0106684, 0.00412155, 0, 0.00038885
34, 0.0104007, 0.00404675, 0, 0.0003407
35, 0.00989365, 0.00407165, 0, 0.00029475
36, 0.0092373, 0.00399215, 0, 0.00026035
37, 0.0088834, 0.0039789, 0, 0.00022925
38, 0.00871255, 0.00400195, 0, 0.0002059
39, 0.0084306, 0.0039546, 0, 0.00017935
40, 0.00801415, 0.00394125, 0, 0.00015755
41, 0.007579, 0.00393795, 0, 0.0001397
42, 0.0069022, 0.0039152, 0, 0.0001198
43, 0.00640645, 0.0039032, 0, 0.00010755
44, 0.00611255, 0.0038979, 0, 9.025e-05
45, 0.0055852, 0.003828, 0, 8.46e-05
46, 0.0051207, 0.00383015, 0, 7.085e-05
47, 0.0046541, 0.0038404, 0, 6.425e-05
48, 0.0042181, 0.0037674, 0, 5.745e-05
49, 0.00383245, 0.0037835, 0, 4.96e-05
50, 0.00349235, 0.0037254, 0, 4.515e-05
51, 0.00311665, 0.00374165, 0, 3.81e-05
52, 0.0027593, 0.00375335, 0, 3.625e-05
53, 0.0024568, 0.00372795, 0, 3.03e-05
54, 0.0020576, 0.0036926, 0, 2.685e-05
55, 0.00177095, 0.00368545, 0, 2.38e-05
56, 0.001503, 0.00366155, 0, 2.04e-05
57, 0.0012322, 0.00364565, 0, 1.85e-05
58, 0.0009908, 0.00363755, 0, 1.645e-05
59, 0.0007709, 0.00361435, 0, 1.405e-05
60, 0.00056935, 0.0035624, 0, 1.35e-05
61, 0.00047565, 0.0035503, 0, 9.95e-06
62, 0.0003457, 0.00349645, 0, 9.45e-06
