Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.124157, 0.116317, 0.007167, 0.397129
1, 0.0463184, 0.00480615, 0.0233099, 0.154965
2, 0.0417095, 0.0047748, 0.0386215, 0.103242
3, 0.0391013, 0.004795, 0.538405, 0.0780312
4, 0.0370371, 0.00478305, 0.392497, 0.0582771
5, 0.0353465, 0.00478235, 0, 0.0426779
6, 0.0337257, 0.00477945, 0, 0.03104
7, 0.0323743, 0.0047818, 0, 0.0232223
8, 0.030922, 0.00476705, 0, 0.017978
9, 0.0294394, 0.00472845, 0, 0.0143581
10, 0.0283347, 0.0047151, 0, 0.0117403
11, 0.026773, 0.0046709, 0, 0.00973435
12, 0.0254003, 0.00464645, 0, 0.008168
13, 0.0243752, 0.00465285, 0, 0.00689005
14, 0.0233611, 0.00462355, 0, 0.0058191
15, 0.0221497, 0.00459545, 0, 0.00497085
16, 0.0209876, 0.0045923, 0, 0.0042401
17, 0.0199839, 0.0045728, 0, 0.00365705
18, 0.0194079, 0.0045349, 0, 0.00314875
19, 0.0186515, 0.00452425, 0, 0.00268235
20, 0.0176513, 0.00452815, 0, 0.00231805
21, 0.0168452, 0.0045013, 0, 0.00201845
22, 0.0161851, 0.00448545, 0, 0.00173635
23, 0.0155356, 0.0044625, 0, 0.00150765
24, 0.0147864, 0.00441715, 0, 0.0013051
25, 0.0140466, 0.00440715, 0, 0.0011465
26, 0.0135567, 0.0043307, 0, 0.00098135
27, 0.0128741, 0.0043927, 0, 0.0008645
28, 0.01241, 0.00433205, 0, 0.000764
29, 0.0117652, 0.0042827, 0, 0.0006632
30, 0.0113758, 0.0042635, 0, 0.00056685
31, 0.0109403, 0.0042338, 0, 0.0004989
32, 0.0103638, 0.0042204, 0, 0.00044035
33, 0.0099072, 0.00418605, 0, 0.0003807
34, 0.00957135, 0.0041608, 0, 0.0003426
35, 0.0092203, 0.0041208, 0, 0.0002968
36, 0.00879935, 0.0041292, 0, 0.00025445
37, 0.00829755, 0.00410875, 0, 0.00023255
38, 0.0078291, 0.0040782, 0, 0.00020615
39, 0.00743905, 0.0040696, 0, 0.0001751
40, 0.0072136, 0.00405805, 0, 0.00015395
41, 0.00695605, 0.00404585, 0, 0.0001368
42, 0.00670295, 0.00403065, 0, 0.00012225
43, 0.00621925, 0.0039797, 0, 0.00010195
44, 0.00597715, 0.0039984, 0, 9.26e-05
45, 0.00562015, 0.00397545, 0, 8.035e-05
46, 0.00522125, 0.00394805, 0, 7.655e-05
47, 0.00479015, 0.0039521, 0, 6.655e-05
