Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.122295, 0.114436, 0.00695915, 0.39754
1, 0.0458677, 0.00472105, 0.0227523, 0.155058
2, 0.041649, 0.00473465, 0.0380693, 0.10299
3, 0.0391978, 0.0047509, 0.539225, 0.0776836
4, 0.0374323, 0.0047522, 0.392994, 0.0582932
5, 0.0357597, 0.0047384, 0, 0.0424925
6, 0.03421, 0.0047399, 0, 0.0310576
7, 0.0326692, 0.00474225, 0, 0.0232221
8, 0.0309837, 0.0047295, 0, 0.0179599
9, 0.0296724, 0.00472345, 0, 0.0143548
10, 0.0283172, 0.0047016, 0, 0.0117754
11, 0.0272928, 0.00468525, 0, 0.00976405
12, 0.0265135, 0.00466775, 0, 0.00816795
13, 0.0252372, 0.00464665, 0, 0.0069185
14, 0.0239665, 0.0046208, 0, 0.00587
15, 0.0228472, 0.00460945, 0, 0.0050124
16, 0.0218324, 0.00457915, 0, 0.0042712
17, 0.0207976, 0.00455675, 0, 0.00366445
18, 0.0196615, 0.00454035, 0, 0.0031325
19, 0.018756, 0.00453815, 0, 0.00270285
20, 0.0180211, 0.00452645, 0, 0.00234875
21, 0.0168347, 0.00450485, 0, 0.00199885
22, 0.0161314, 0.00447755, 0, 0.00175065
23, 0.0154176, 0.0044544, 0, 0.0015157
24, 0.0147884, 0.0044728, 0, 0.0013114
25, 0.0140573, 0.00443685, 0, 0.0011429
26, 0.0134284, 0.0043978, 0, 0.00098915
27, 0.0129661, 0.00437235, 0, 0.00087435
28, 0.0124039, 0.0043568, 0, 0.00075045
29, 0.0117833, 0.0043205, 0, 0.00065555
30, 0.0112756, 0.0043089, 0, 0.00057605
31, 0.0108106, 0.00432295, 0, 0.00050845
32, 0.0103503, 0.004297, 0, 0.000441
33, 0.00969755, 0.004284, 0, 0.0003842
34, 0.00922935, 0.0042619, 0, 0.00034485
35, 0.00882045, 0.0042185, 0, 0.00029865
36, 0.0085228, 0.00419205, 0, 0.0002619
37, 0.0081032, 0.00418435, 0, 0.00022435
38, 0.0077764, 0.00414645, 0, 0.00019595
39, 0.0074047, 0.00413415, 0, 0.0001751
40, 0.0069896, 0.0041034, 0, 0.0001544
41, 0.0066548, 0.0041129, 0, 0.0001357
42, 0.00628305, 0.0040757, 0, 0.00011935
43, 0.00603135, 0.00406795, 0, 0.0001041
44, 0.0057353, 0.00400865, 0, 9.445e-05
45, 0.00544135, 0.00399935, 0, 8.505e-05
46, 0.00513005, 0.00396685, 0, 7.31e-05
47, 0.00479205, 0.0039488, 0, 6.365e-05
48, 0.0043171, 0.00393695, 0, 5.37e-05
49, 0.003804, 0.00391935, 0, 4.83e-05
50, 0.0033849, 0.00389785, 0, 4.285e-05
51, 0.00314415, 0.0038998, 0, 4.01e-05
52, 0.00279535, 0.0038981, 0, 3.375e-05
53, 0.0023234, 0.0038605, 0, 3.125e-05
54, 0.00192225, 0.00383095, 0, 2.52e-05
55, 0.0016295, 0.0038257, 0, 2.425e-05
56, 0.00143835, 0.0037747, 0, 2.145e-05
57, 0.0012224, 0.0037907, 0, 1.745e-05
58, 0.00098605, 0.00379845, 0, 1.69e-05
59, 0.00084545, 0.00373475, 0, 1.5e-05
60, 0.00065775, 0.0037482, 0, 1.2e-05
61, 0.00049265, 0.0037079, 0, 1.1e-05
62, 0.00033535, 0.00367415, 0, 1.07e-05
63, 0.0002436, 0.0036248, 0, 8.75e-06
64, 0.00018065, 0.00365245, 0, 7.47e-05
65, 0.00013775, 0.00364515, 0, 3.5e-07
66, 0.0001001, 0.0035884, 0, 2.5e-07
67, 6.44e-05, 0.0035821, 0, 1e-07
68, 5.74e-05, 0.003548, 0, 3.5e-07
69, 2.03e-05, 0.00354575, 0, 5.5e-07
70, 1.78e-05, 0.00351145, 0, 1e-07
71, 1.135e-05, 0.00349545, 0, 1.5e-07
72, 1.255e-05, 0.0034716, 0, 1e-07
73, 6.55e-06, 0.00347145, 0, 1e-07
74, 3.7e-06, 0.0034607, 0, 5e-08
75, 3e-06, 0.0034555, 0, 5e-08
76, 1.55e-06, 0.00339705, 0, 5e-08
77, 1.45e-06, 0.0033913, 0, 5e-08
78, 0, 0.0033659, 0, 0
79, 0, 0.00335975, 0, 1e-07
80, 0, 0.0033259, 0, 1.5e-07
81, 0, 0.0033359, 0, 0
82, 0, 0.00327585, 0, 0
83, 0, 0.00328785, 0, 5e-08
84, 0, 0.0032833, 0, 5e-08
85, 0, 0.00326755, 0, 1.5e-07
86, 0, 0.0032217, 0, 0
87, 0, 0.00324585, 0, 1e-07
88, 0, 0.00321975, 0, 0
89, 0, 0.00321215, 0, 0
90, 0, 0.00319705, 0, 5e-08
91, 0, 0.0031737, 0, 1e-07
92, 0, 0.0031548, 0, 5e-08
93, 0, 0.00315045, 0, 0
94, 0, 0.00315235, 0, 0
95, 0, 0.00312825, 0, 0
96, 0, 0.0031142, 0, 0
97, 0, 0.0030743, 0, 0
98, 0, 0.0030532, 0, 0
99, 0, 0.0030874, 0, 5e-08
100, 0, 0.00303975, 0, 0
101, 0, 0.00302675, 0, 0
102, 0, 0.0030233, 0, 0
103, 0, 0.00300385, 0, 0
104, 0, 0.00296425, 0, 0
105, 0, 0.00299855, 0, 0
106, 0, 0.00295435, 0, 5e-08
107, 0, 0.00294035, 0, 5e-08
108, 0, 0.0029454, 0, 0
109, 0, 0.00290725, 0, 0
110, 0, 0.0028841, 0, 0
111, 0, 0.00288055, 0, 0
112, 0, 0.0028578, 0, 0
113, 0, 0.0028453, 0, 0
114, 0, 0.0028288, 0, 0
115, 0, 0.00281765, 0, 0
116, 0, 0.00279, 0, 0
117, 0, 0.00273615, 0, 0
118, 0, 0.0027866, 0, 0
119, 0, 0.00275035, 0, 0
120, 0, 0.00276415, 0, 0
121, 0, 0.00272325, 0, 0
122, 0, 0.0027239, 0, 0
123, 0, 0.0027007, 0, 0
124, 0, 0.00269575, 0, 0
125, 0, 0.00265455, 0, 0
126, 0, 0.0026622, 0, 0
127, 0, 0.00263355, 0, 0
128, 0, 0.0026251, 0, 5e-08
129, 0, 0.0026132, 0, 0
130, 0, 0.00260375, 0, 0
131, 0, 0.00255765, 0, 0
132, 0, 0.0025622, 0, 0
133, 0, 0.00258, 0, 0
134, 0, 0.00254465, 0, 0
135, 0, 0.0025319, 0, 0
136, 0, 0.00251285, 0, 0
137, 0, 0.0025071, 0, 0
138, 0, 0.0025027, 0, 0
139, 0, 0.0024946, 0, 0
140, 0, 0.0024655, 0, 0
141, 0, 0.00244815, 0, 0
142, 0, 0.00245615, 0, 0
143, 0, 0.00244855, 0, 0
144, 0, 0.0024261, 0, 0
145, 0, 0.00240885, 0, 0
146, 0, 0.0023894, 0, 0
147, 0, 0.0023796, 0, 0
148, 0, 0.0023676, 0, 0
149, 0, 0.0023536, 0, 0
150, 0, 0.0023538, 0, 0
151, 0, 0.0023351, 0, 0
152, 0, 0.0023154, 0, 0
153, 0, 0.00229705, 0, 0
154, 0, 0.0023007, 0, 0
155, 0, 0.00227805, 0, 0
156, 0, 0.00226555, 0, 0
157, 0, 0.00226025, 0, 0
158, 0, 0.0022637, 0, 0
159, 0, 0.00222425, 0, 0
160, 0, 0.00222805, 0, 0
161, 0, 0.0022172, 0, 0
162, 0, 0.0021974, 0, 0
163, 0, 0.0021993, 0, 0
164, 0, 0.00216515, 0, 0
165, 0, 0.0021566, 0, 0
166, 0, 0.00215005, 0, 0
167, 0, 0.00215685, 0, 0
168, 0, 0.0021254, 0, 0
169, 0, 0.0021173, 0, 0
170, 0, 0.0020871, 0, 0
171, 0, 0.00205755, 0, 0
172, 0, 0.00208655, 0, 0
173, 0, 0.0020558, 0, 0
174, 0, 0.00204375, 0, 0
175, 0, 0.00201335, 0, 0
176, 0, 0.002026, 0, 0
177, 0, 0.0019861, 0, 0
178, 0, 0.00199175, 0, 0
179, 0, 0.00195635, 0, 0
180, 0, 0.00198305, 0, 0
181, 0, 0.00196625, 0, 0
182, 0, 0.00197065, 0, 0
183, 0, 0.001958, 0, 0
184, 0, 0.0018994, 0, 0
185, 0, 0.00192205, 0, 0
186, 0, 0.0019062, 0, 0
187, 0, 0.00190175, 0, 0
188, 0, 0.00188735, 0, 0
189, 0, 0.00185375, 0, 0
190, 0, 0.0018835, 0, 0
191, 0, 0.0018392, 0, 0
192, 0, 0.00182535, 0, 0
193, 0, 0.0018011, 0, 0
194, 0, 0.00182735, 0, 0
195, 0, 0.0018179, 0, 0
196, 0, 0.00181865, 0, 0
197, 0, 0.0017786, 0, 0
198, 0, 0.00178135, 0, 0
199, 0, 0.0017699, 0, 0
200, 0, 0.00175695, 0, 0
