Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.121718, 0.113908, 0.0069942, 0.398162
1, 0.0454717, 0.0047044, 0.0228018, 0.154799
2, 0.0413988, 0.0047123, 0.0377663, 0.10299
3, 0.0389994, 0.00476465, 0.538813, 0.0775415
4, 0.03697, 0.00473955, 0.393624, 0.0580936
5, 0.0350444, 0.00473005, 0, 0.0424706
6, 0.0334337, 0.0047109, 0, 0.031016
7, 0.0318524, 0.0047138, 0, 0.0231755
8, 0.0306336, 0.0046921, 0, 0.0179848
9, 0.0291212, 0.00465255, 0, 0.014392
10, 0.0279199, 0.00462555, 0, 0.0117689
11, 0.0268623, 0.0046546, 0, 0.0097803
12, 0.0258529, 0.0046706, 0, 0.00817435
13, 0.0245981, 0.00459685, 0, 0.00690565
14, 0.023453, 0.00459575, 0, 0.0058549
15, 0.0225497, 0.00458235, 0, 0.00496645
16, 0.0215199, 0.00456165, 0, 0.00429005
17, 0.0205282, 0.00455715, 0, 0.00367665
18, 0.0196937, 0.0045144, 0, 0.00313875
19, 0.0189828, 0.00449175, 0, 0.00269515
20, 0.0179807, 0.0045052, 0, 0.0023251
21, 0.0173086, 0.00446265, 0, 0.00202265
22, 0.0167092, 0.00440155, 0, 0.001748
23, 0.0159972, 0.00442185, 0, 0.00152175
24, 0.0152442, 0.00438295, 0, 0.00131335
25, 0.0145741, 0.00435325, 0, 0.00115225
26, 0.0138131, 0.004348, 0, 0.0009966
27, 0.0133069, 0.0043243, 0, 0.00086445
28, 0.0125423, 0.004308, 0, 0.0007472
29, 0.0121546, 0.00431445, 0, 0.00067305
30, 0.0115881, 0.00426755, 0, 0.0005705
31, 0.0110402, 0.00422805, 0, 0.0005102
32, 0.0104917, 0.0042103, 0, 0.00044345
33, 0.010005, 0.0042127, 0, 0.00038755
34, 0.0095938, 0.00418185, 0, 0.0003394
35, 0.00921785, 0.00417135, 0, 0.0003083
36, 0.00882005, 0.00412685, 0, 0.0002605
37, 0.00853595, 0.0041128, 0, 0.0002301
38, 0.00816745, 0.00408235, 0, 0.00019845
39, 0.00793825, 0.0040801, 0, 0.0001797
40, 0.00741105, 0.00402785, 0, 0.0001563
41, 0.00698625, 0.0040417, 0, 0.00013695
42, 0.0066605, 0.0040056, 0, 0.00011885
