Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.118955, 0.111316, 0.00694395, 0.399508
1, 0.0445407, 0.00457855, 0.0223834, 0.154474
2, 0.0400348, 0.0046014, 0.0367972, 0.102652
3, 0.0377245, 0.00463995, 0.538784, 0.0772716
4, 0.0361591, 0.00460125, 0.395092, 0.0578273
5, 0.0346766, 0.00460085, 0, 0.0423455
6, 0.0333948, 0.0046213, 0, 0.0308863
7, 0.0317871, 0.0045996, 0, 0.0231539
8, 0.0304801, 0.0045755, 0, 0.0180141
9, 0.0291444, 0.00455725, 0, 0.0143429
10, 0.027777, 0.00455265, 0, 0.0117623
11, 0.0264716, 0.00452, 0, 0.0097805
12, 0.025325, 0.00451135, 0, 0.0082125
13, 0.02414, 0.00447075, 0, 0.0069222
14, 0.0233201, 0.00446015, 0, 0.0058812
15, 0.0223563, 0.0044634, 0, 0.00499645
16, 0.0216215, 0.00444235, 0, 0.0042657
17, 0.0207484, 0.0044019, 0, 0.0036407
18, 0.0200378, 0.00437265, 0, 0.00316005
19, 0.0189664, 0.0043591, 0, 0.00270075
20, 0.0181881, 0.00435885, 0, 0.00233915
21, 0.0174998, 0.0043191, 0, 0.00203025
22, 0.0168315, 0.0043078, 0, 0.00175715
23, 0.0159893, 0.00425865, 0, 0.0015256
24, 0.0151796, 0.0042664, 0, 0.0013273
25, 0.014553, 0.00425585, 0, 0.001151
26, 0.0139463, 0.0042448, 0, 0.00099705
27, 0.0133688, 0.0042387, 0, 0.00086705
28, 0.0129683, 0.0041845, 0, 0.00076235
29, 0.0124285, 0.00415095, 0, 0.00067065
30, 0.0118973, 0.0041439, 0, 0.00058265
31, 0.0114369, 0.00411435, 0, 0.00050775
32, 0.0109918, 0.0041241, 0, 0.00043735
33, 0.0103529, 0.00412155, 0, 0.00038785
34, 0.00996045, 0.0040635, 0, 0.00034165
35, 0.00956205, 0.0040709, 0, 0.0002922
36, 0.00920005, 0.00407645, 0, 0.00026525
37, 0.0090078, 0.00401295, 0, 0.0002294
38, 0.00872395, 0.00397935, 0, 0.00020305
39, 0.0083674, 0.0040013, 0, 0.0001766
40, 0.0079795, 0.0040044, 0, 0.00015745
41, 0.0075373, 0.0039385, 0, 0.00014005
42, 0.0070739, 0.00392165, 0, 0.00012035
43, 0.0068331, 0.00390075, 0, 0.000108
44, 0.00630855, 0.0038873, 0, 9.505e-05
45, 0.0056789, 0.00384105, 0, 8.55e-05
46, 0.0052913, 0.00384095, 0, 7.285e-05
47, 0.00496575, 0.00381885, 0, 6.605e-05
48, 0.0045786, 0.00380005, 0, 5.635e-05
49, 0.00405855, 0.00377505, 0, 5e-05
50, 0.0035744, 0.00382395, 0, 4.535e-05
51, 0.0030833, 0.00372045, 0, 3.88e-05
52, 0.00262025, 0.00373395, 0, 3.525e-05
53, 0.0022487, 0.00370105, 0, 3.24e-05
54, 0.00188715, 0.00371965, 0, 2.765e-05
55, 0.0016801, 0.00369475, 0, 2.43e-05
56, 0.0013704, 0.0036383, 0, 2.045e-05
57, 0.0010964, 0.00362855, 0, 1.815e-05
58, 0.0008942, 0.00359765, 0, 1.755e-05
59, 0.0007356, 0.00362275, 0, 1.53e-05
60, 0.0005909, 0.00356535, 0, 1.225e-05
61, 0.0004559, 0.0035661, 0, 1.13e-05
62, 0.0003618, 0.0035732, 0, 1.05e-05
63, 0.0002736, 0.0035783, 0, 9.8e-06
64, 0.00020075, 0.0035531, 0, 7.74e-05
65, 0.000171, 0.0035392, 0, 2.5e-07
66, 0.00011935, 0.0035152, 0, 3e-07
67, 8.62e-05, 0.0034895, 0, 2e-07
68, 4.28e-05, 0.0035063, 0, 2.5e-07
69, 3.405e-05, 0.0034527, 0, 1e-07
70, 2.76e-05, 0.00346535, 0, 2e-07
71, 1.33e-05, 0.0034301, 0, 5e-08
72, 6.65e-06, 0.00341055, 0, 2.5e-07
73, 3.6e-06, 0.0033868, 0, 2e-07
74, 1.9e-06, 0.0033972, 0, 2.5e-07
75, 2.5e-07, 0.0033268, 0, 1.5e-07
76, 0, 0.0033236, 0, 1e-07
77, 0, 0.00328795, 0, 1e-07
78, 0, 0.0033162, 0, 0
79, 0, 0.00329665, 0, 1.5e-07
80, 0, 0.0032844, 0, 0
81, 0, 0.0032429, 0, 1e-07
82, 0, 0.00326775, 0, 0
83, 0, 0.00322345, 0, 1e-07
84, 0, 0.00320785, 0, 0
85, 0, 0.0032259, 0, 0
86, 0, 0.00322535, 0, 1.5e-07
87, 0, 0.00320375, 0, 0
88, 0, 0.00315945, 0, 0
89, 0, 0.0031657, 0, 5e-08
90, 0, 0.0031377, 0, 0
91, 0, 0.00314385, 0, 0
92, 0, 0.00313645, 0, 0
93, 0, 0.00308695, 0, 0
94, 0, 0.00308155, 0, 0
95, 0, 0.0030742, 0, 5e-08
96, 0, 0.00305715, 0, 5e-08
97, 0, 0.00302485, 0, 0
98, 0, 0.0030215, 0, 0
99, 0, 0.0029756, 0, 0
100, 0, 0.00299435, 0, 0
101, 0, 0.0029512, 0, 5e-08
102, 0, 0.0029513, 0, 0
103, 0, 0.0029313, 0, 0
104, 0, 0.00291565, 0, 0
105, 0, 0.0028736, 0, 0
106, 0, 0.0028564, 0, 0
107, 0, 0.0028478, 0, 0
108, 0, 0.00284265, 0, 0
109, 0, 0.00283785, 0, 0
110, 0, 0.00282065, 0, 0
111, 0, 0.00280515, 0, 0
112, 0, 0.00275745, 0, 0
113, 0, 0.0027437, 0, 0
114, 0, 0.00275705, 0, 0
115, 0, 0.002723, 0, 0
116, 0, 0.0027305, 0, 0
117, 0, 0.00268965, 0, 0
118, 0, 0.00272105, 0, 0
119, 0, 0.00269255, 0, 0
120, 0, 0.002669, 0, 0
121, 0, 0.00266675, 0, 0
122, 0, 0.0026488, 0, 0
123, 0, 0.00263065, 0, 0
124, 0, 0.00263585, 0, 0
125, 0, 0.00260685, 0, 0
126, 0, 0.0026211, 0, 0
127, 0, 0.00260275, 0, 0
128, 0, 0.0025932, 0, 0
129, 0, 0.00257685, 0, 0
130, 0, 0.00257255, 0, 0
131, 0, 0.00255995, 0, 0
132, 0, 0.0025444, 0, 0
133, 0, 0.0025309, 0, 0
134, 0, 0.0025251, 0, 0
135, 0, 0.00249155, 0, 0
136, 0, 0.0024914, 0, 0
137, 0, 0.00248545, 0, 0
138, 0, 0.00247695, 0, 0
139, 0, 0.00248635, 0, 0
140, 0, 0.002451, 0, 0
141, 0, 0.00246765, 0, 0
142, 0, 0.0024312, 0, 0
143, 0, 0.0024465, 0, 0
144, 0, 0.0024221, 0, 0
145, 0, 0.00242775, 0, 0
146, 0, 0.00240335, 0, 0
147, 0, 0.00239055, 0, 0
148, 0, 0.00239385, 0, 0
149, 0, 0.00237065, 0, 0
150, 0, 0.00235175, 0, 0
151, 0, 0.0023413, 0, 0
152, 0, 0.00236025, 0, 0
153, 0, 0.0023216, 0, 0
154, 0, 0.00231795, 0, 0
155, 0, 0.0022905, 0, 0
156, 0, 0.0022854, 0, 0
157, 0, 0.002279, 0, 0
158, 0, 0.0022541, 0, 0
159, 0, 0.00221995, 0, 0
160, 0, 0.00219525, 0, 0
161, 0, 0.00219825, 0, 0
162, 0, 0.00218585, 0, 0
163, 0, 0.00217605, 0, 0
164, 0, 0.002156, 0, 0
165, 0, 0.0021356, 0, 0
166, 0, 0.0021363, 0, 0
167, 0, 0.00215385, 0, 0
168, 0, 0.00213255, 0, 0
169, 0, 0.00211005, 0, 0
170, 0, 0.00209735, 0, 0
171, 0, 0.0020869, 0, 0
172, 0, 0.0020745, 0, 0
173, 0, 0.00206835, 0, 0
174, 0, 0.0020773, 0, 0
175, 0, 0.00204715, 0, 0
176, 0, 0.00207035, 0, 0
177, 0, 0.00202795, 0, 0
178, 0, 0.00202405, 0, 0
179, 0, 0.00202365, 0, 0
180, 0, 0.0020186, 0, 0
181, 0, 0.00199085, 0, 0
182, 0, 0.0019952, 0, 0
183, 0, 0.0020115, 0, 0
184, 0, 0.00195445, 0, 0
185, 0, 0.0019521, 0, 0
186, 0, 0.00196655, 0, 0
187, 0, 0.001928, 0, 0
188, 0, 0.0019143, 0, 0
189, 0, 0.00193995, 0, 0
190, 0, 0.0018906, 0, 0
191, 0, 0.0018972, 0, 0
192, 0, 0.0018882, 0, 0
193, 0, 0.0018888, 0, 0
194, 0, 0.0018816, 0, 0
195, 0, 0.00187305, 0, 0
196, 0, 0.00184395, 0, 0
197, 0, 0.0018577, 0, 0
198, 0, 0.00183425, 0, 0
199, 0, 0.00183265, 0, 0
200, 0, 0.0018415, 0, 0
201, 0, 0.00182545, 0, 0
202, 0, 0.00179715, 0, 0
203, 0, 0.00179115, 0, 0
204, 0, 0.00177265, 0, 0
205, 0, 0.0017795, 0, 0
206, 0, 0.0017557, 0, 0
207, 0, 0.00176915, 0, 0
208, 0, 0.0017396, 0, 0
209, 0, 0.00173995, 0, 0
210, 0, 0.0017072, 0, 0
211, 0, 0.00171735, 0, 0
212, 0, 0.001697, 0, 0
213, 0, 0.00169845, 0, 0
214, 0, 0.00167815, 0, 0
215, 0, 0.0016887, 0, 0
216, 0, 0.00167315, 0, 0
217, 0, 0.0016569, 0, 0
218, 0, 0.00168755, 0, 0
219, 0, 0.0016437, 0, 0
220, 0, 0.0016729, 0, 0
221, 0, 0.00164865, 0, 0
222, 0, 0.001661, 0, 0
223, 0, 0.00163305, 0, 0
224, 0, 0.00163275, 0, 0
225, 0, 0.00162285, 0, 0
226, 0, 0.0016401, 0, 0
227, 0, 0.00161225, 0, 0
228, 0, 0.0016121, 0, 0
229, 0, 0.00162825, 0, 0
230, 0, 0.0016298, 0, 0
231, 0, 0.0016107, 0, 0
232, 0, 0.00160975, 0, 0
233, 0, 0.0015965, 0, 0
234, 0, 0.00159655, 0, 0
235, 0, 0.00157375, 0, 0
236, 0, 0.00156585, 0, 0
237, 0, 0.00159425, 0, 0
238, 0, 0.0015629, 0, 0
239, 0, 0.00155505, 0, 0
240, 0, 0.00155025, 0, 0
241, 0, 0.0015506, 0, 0
242, 0, 0.0015386, 0, 0
243, 0, 0.0015362, 0, 0
244, 0, 0.0015025, 0, 0
245, 0, 0.00150945, 0, 0
246, 0, 0.0014846, 0, 0
247, 0, 0.0014965, 0, 0
248, 0, 0.0015062, 0, 0
249, 0, 0.0014795, 0, 0
250, 0, 0.00147725, 0, 0
251, 0, 0.00147085, 0, 0
252, 0, 0.00145955, 0, 0
253, 0, 0.00147005, 0, 0
254, 0, 0.00145925, 0, 0
255, 0, 0.0014351, 0, 0
256, 0, 0.00142145, 0, 0
257, 0, 0.00142745, 0, 0
258, 0, 0.00140505, 0, 0
259, 0, 0.00141765, 0, 0
260, 0, 0.00138875, 0, 0
261, 0, 0.0013989, 0, 0
262, 0, 0.0013724, 0, 0
263, 0, 0.00136655, 0, 0
264, 0, 0.00137725, 0, 0
265, 0, 0.0013543, 0, 0
266, 0, 0.0013227, 0, 0
267, 0, 0.00132925, 0, 0
268, 0, 0.0013253, 0, 0
269, 0, 0.00130545, 0, 0
270, 0, 0.0012918, 0, 0
271, 0, 0.00130915, 0, 0
272, 0, 0.0013133, 0, 0
273, 0, 0.001269, 0, 0
274, 0, 0.0012823, 0, 0
275, 0, 0.0012685, 0, 0
276, 0, 0.0012574, 0, 0
277, 0, 0.00124945, 0, 0
278, 0, 0.00124765, 0, 0
279, 0, 0.00124325, 0, 0
280, 0, 0.0012255, 0, 0
281, 0, 0.00121935, 0, 0
282, 0, 0.00120535, 0, 0
283, 0, 0.0012123, 0, 0
284, 0, 0.0011915, 0, 0
285, 0, 0.00120195, 0, 0
286, 0, 0.0011954, 0, 0
287, 0, 0.0011859, 0, 0
288, 0, 0.00119415, 0, 0
289, 0, 0.00118735, 0, 0
290, 0, 0.0011795, 0, 0
291, 0, 0.001183, 0, 0
292, 0, 0.0011691, 0, 0
293, 0, 0.0011878, 0, 0
294, 0, 0.0011592, 0, 0
295, 0, 0.00114685, 0, 0
296, 0, 0.00115035, 0, 0
297, 0, 0.00114445, 0, 0
298, 0, 0.0011314, 0, 0
299, 0, 0.0011283, 0, 0
300, 0, 0.0011246, 0, 0
301, 0, 0.0011309, 0, 0
302, 0, 0.0010991, 0, 0
303, 0, 0.00110725, 0, 0
304, 0, 0.00111345, 0, 0
305, 0, 0.00110155, 0, 0
306, 0, 0.0010767, 0, 0
307, 0, 0.00107285, 0, 0
308, 0, 0.00108085, 0, 0
309, 0, 0.001082, 0, 0
310, 0, 0.00105795, 0, 0
311, 0, 0.0010733, 0, 0
312, 0, 0.00106645, 0, 0
313, 0, 0.0010767, 0, 0
314, 0, 0.00104965, 0, 0
315, 0, 0.00104295, 0, 0
316, 0, 0.00104775, 0, 0
317, 0, 0.00104015, 0, 0
318, 0, 0.0010168, 0, 0
319, 0, 0.0010341, 0, 0
320, 0, 0.00102355, 0, 0
321, 0, 0.00103605, 0, 0
322, 0, 0.00104605, 0, 0
323, 0, 0.0010327, 0, 0
324, 0, 0.00102905, 0, 0
325, 0, 0.00102665, 0, 0
326, 0, 0.0010184, 0, 0
327, 0, 0.0010065, 0, 0
328, 0, 0.00099845, 0, 0
329, 0, 0.00097155, 0, 0
330, 0, 0.00099155, 0, 0
331, 0, 0.00096665, 0, 0
332, 0, 0.00095455, 0, 0
333, 0, 0.0009524, 0, 0
334, 0, 0.000961, 0, 0
335, 0, 0.00096485, 0, 0
336, 0, 0.00093635, 0, 0
337, 0, 0.00095495, 0, 0
338, 0, 0.00094685, 0, 0
339, 0, 0.00094315, 0, 0
340, 0, 0.0009439, 0, 0
341, 0, 0.00095005, 0, 0
342, 0, 0.0009288, 0, 0
343, 0, 0.0009177, 0, 0
344, 0, 0.0009297, 0, 0
345, 0, 0.0009085, 0, 0
346, 0, 0.0009192, 0, 0
347, 0, 0.0009264, 0, 0
348, 0, 0.00091555, 0, 0
349, 0, 0.00089065, 0, 0
350, 0, 0.00090925, 0, 0
351, 0, 0.00087615, 0, 0
352, 0, 0.00088855, 0, 0
353, 0, 0.0008772, 0, 0
354, 0, 0.00087845, 0, 0
355, 0, 0.0008705, 0, 0
356, 0, 0.00086585, 0, 0
357, 0, 0.00087665, 0, 0
358, 0, 0.0008506, 0, 0
359, 0, 0.0008654, 0, 0
360, 0, 0.000847, 0, 0
361, 0, 0.0008416, 0, 0
362, 0, 0.00084355, 0, 0
