Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.120739, 0.11313, 0.00685185, 0.397464
1, 0.0455779, 0.00470035, 0.0227133, 0.155255
2, 0.0409881, 0.00473435, 0.0375675, 0.103082
3, 0.0384216, 0.0047014, 0.539937, 0.0776394
4, 0.0364663, 0.00473565, 0.39293, 0.0581173
5, 0.0347244, 0.0046859, 0, 0.0424663
6, 0.0330481, 0.0046947, 0, 0.0310685
7, 0.031586, 0.00468125, 0, 0.0231943
8, 0.0303694, 0.0046736, 0, 0.0180158
9, 0.0289969, 0.0046779, 0, 0.0144271
10, 0.0277638, 0.0046971, 0, 0.0117641
11, 0.0265104, 0.0046408, 0, 0.0097983
12, 0.0254007, 0.004589, 0, 0.00818275
13, 0.024238, 0.004593, 0, 0.00690135
14, 0.0231681, 0.00459915, 0, 0.0058504
15, 0.0219673, 0.004533, 0, 0.0049921
16, 0.0210538, 0.0045268, 0, 0.00425565
17, 0.0201804, 0.0045395, 0, 0.00364765
18, 0.0190431, 0.004454, 0, 0.00312315
19, 0.018315, 0.00445895, 0, 0.00269755
20, 0.0176886, 0.00443065, 0, 0.00234525
21, 0.0171465, 0.00443315, 0, 0.00202175
22, 0.0162167, 0.00440705, 0, 0.00173665
23, 0.0156705, 0.00435595, 0, 0.0015046
24, 0.0150706, 0.0043289, 0, 0.0013078
25, 0.0146382, 0.0043008, 0, 0.0011407
26, 0.0140174, 0.0042853, 0, 0.0009876
27, 0.0136224, 0.0042743, 0, 0.0008704
28, 0.0129973, 0.00425435, 0, 0.0007536
29, 0.0124507, 0.00426495, 0, 0.0006503
30, 0.0117898, 0.00418805, 0, 0.00057355
31, 0.0113805, 0.00421585, 0, 0.00050905
32, 0.0108069, 0.0041891, 0, 0.00043565
33, 0.0104709, 0.0041724, 0, 0.0003939
34, 0.00998825, 0.0041151, 0, 0.00034425
35, 0.0097094, 0.00411125, 0, 0.00029945
36, 0.00933095, 0.00407795, 0, 0.00025955
37, 0.00884955, 0.00406165, 0, 0.0002235
38, 0.0085312, 0.0040231, 0, 0.0002027
39, 0.0081239, 0.00400895, 0, 0.00017635
40, 0.0077071, 0.0039883, 0, 0.00015215
41, 0.0072208, 0.00395315, 0, 0.0001371
42, 0.0068821, 0.00392975, 0, 0.0001209
43, 0.00659025, 0.0038817, 0, 0.00010975
44, 0.0062673, 0.0038998, 0, 9.005e-05
45, 0.0059654, 0.0039044, 0, 8.475e-05
46, 0.00560755, 0.00387535, 0, 7.205e-05
47, 0.0050551, 0.003874, 0, 6.33e-05
48, 0.0045557, 0.0038456, 0, 5.595e-05
49, 0.00414255, 0.00381795, 0, 4.81e-05
50, 0.00376105, 0.0037887, 0, 4.065e-05
51, 0.0032923, 0.00377805, 0, 3.85e-05
52, 0.00288955, 0.00377805, 0, 3.68e-05
53, 0.0024235, 0.00377985, 0, 3.215e-05
54, 0.0020191, 0.00370585, 0, 2.795e-05
55, 0.0017672, 0.00369825, 0, 2.32e-05
56, 0.0014064, 0.0036999, 0, 2.305e-05
57, 0.001155, 0.0036546, 0, 1.72e-05
58, 0.00096185, 0.0036342, 0, 1.635e-05
59, 0.00074195, 0.00362905, 0, 1.33e-05
60, 0.0005811, 0.0036235, 0, 1.355e-05
61, 0.0004778, 0.0035929, 0, 1.13e-05
62, 0.0003459, 0.00359065, 0, 1.025e-05
63, 0.0002866, 0.00356075, 0, 8.65e-06
64, 0.00021605, 0.0035486, 0, 7.105e-05
65, 0.00014985, 0.0034864, 0, 3.5e-07
66, 0.00010715, 0.003517, 0, 2e-07
67, 0.0001005, 0.00347455, 0, 4e-07
68, 6.78e-05, 0.00350345, 0, 3.5e-07
69, 5.84e-05, 0.00343665, 0, 2e-07
70, 3.965e-05, 0.0034635, 0, 3e-07
71, 1.995e-05, 0.00340705, 0, 2e-07
72, 1.845e-05, 0.0033742, 0, 0
73, 1.195e-05, 0.0033667, 0, 3.5e-07
74, 1.33e-05, 0.0033562, 0, 2.5e-07
75, 1.46e-05, 0.00333205, 0, 2.5e-07
76, 9.85e-06, 0.00330635, 0, 0
77, 4.2e-06, 0.0032889, 0, 1e-07
78, 3.15e-06, 0.00329745, 0, 0
79, 2.1e-06, 0.00324915, 0, 0
80, 1.5e-07, 0.0032502, 0, 5e-08
81, 5.5e-07, 0.00322225, 0, 5e-08
82, 5.5e-07, 0.0031948, 0, 0
83, 0, 0.0031988, 0, 0
84, 0, 0.0031619, 0, 0
85, 0, 0.0031703, 0, 5e-08
86, 0, 0.00314835, 0, 5e-08
87, 0, 0.00311655, 0, 5e-08
88, 0, 0.00310825, 0, 5e-08
89, 0, 0.0031298, 0, 0
90, 0, 0.0031068, 0, 1e-07
91, 0, 0.0031087, 0, 5e-08
92, 0, 0.00308215, 0, 0
93, 0, 0.00305275, 0, 1e-07
94, 0, 0.00304245, 0, 0
95, 0, 0.00302475, 0, 0
96, 0, 0.00303585, 0, 5e-08
97, 0, 0.0029794, 0, 0
98, 0, 0.00295295, 0, 0
99, 0, 0.00293505, 0, 5e-08
100, 0, 0.00291475, 0, 0
101, 0, 0.0029213, 0, 0
102, 0, 0.002909, 0, 0
103, 0, 0.0028806, 0, 0
104, 0, 0.00289065, 0, 0
105, 0, 0.0028816, 0, 0
106, 0, 0.00286975, 0, 0
107, 0, 0.00285825, 0, 0
108, 0, 0.00283995, 0, 0
109, 0, 0.0028105, 0, 0
110, 0, 0.0028128, 0, 0
111, 0, 0.00278935, 0, 0
112, 0, 0.0027904, 0, 0
113, 0, 0.0027771, 0, 0
114, 0, 0.00275195, 0, 0
115, 0, 0.0027168, 0, 0
116, 0, 0.0027112, 0, 0
117, 0, 0.0027185, 0, 0
118, 0, 0.00268525, 0, 0
119, 0, 0.00266475, 0, 0
120, 0, 0.0026446, 0, 0
121, 0, 0.0026518, 0, 0
122, 0, 0.0026349, 0, 0
123, 0, 0.0025946, 0, 0
124, 0, 0.0025968, 0, 0
125, 0, 0.00258465, 0, 0
126, 0, 0.0026057, 0, 0
127, 0, 0.00254255, 0, 0
128, 0, 0.00255285, 0, 0
129, 0, 0.00255645, 0, 0
130, 0, 0.0025254, 0, 0
