Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 2516396, 2357048, 149651, 7916452
1, 936535, 96896, 481446, 3100097
2, 845463, 97064, 777586, 2073756
3, 788903, 97004, 10769053, 1566005
4, 748236, 97277, 7822264, 1171275
5, 716903, 97448, 0, 855204
6, 686044, 97606, 0, 623322
7, 654451, 96349, 0, 464466
8, 625459, 96564, 0, 359356
9, 598175, 95991, 0, 287387
10, 570004, 95590, 0, 234569
11, 540297, 95531, 0, 194915
12, 518180, 94600, 0, 163291
13, 497511, 94886, 0, 137991
14, 476862, 93277, 0, 117210
15, 452614, 93989, 0, 100184
16, 434407, 92794, 0, 85152
17, 420596, 92134, 0, 72766
18, 399449, 91190, 0, 62411
19, 379549, 90457, 0, 53842
20, 355991, 90676, 0, 46431
21, 338343, 90442, 0, 40386
22, 327083, 89795, 0, 34710
23, 312974, 90175, 0, 30124
24, 295827, 88979, 0, 26274
25, 282072, 88174, 0, 22805
26, 269710, 88362, 0, 19724
27, 258461, 87930, 0, 17244
28, 244373, 87453, 0, 15106
29, 231703, 86864, 0, 13293
30, 221661, 86782, 0, 11377
31, 214804, 85674, 0, 10010
32, 201677, 85650, 0, 8843
33, 193336, 85373, 0, 7520
34, 182511, 84069, 0, 6776
35, 174895, 84554, 0, 6019
36, 164691, 83910, 0, 5097
37, 155156, 83667, 0, 4526
38, 150639, 82705, 0, 4060
39, 144104, 82536, 0, 3576
40, 136868, 82514, 0, 3122
41, 130605, 82104, 0, 2797
42, 124647, 81445, 0, 2439
43, 118067, 80459, 0, 1969
44, 109211, 80565, 0, 1794
45, 102429, 79843, 0, 1634
46, 93846, 78856, 0, 1464
47, 85958, 79034, 0, 1312
48, 79177, 78593, 0, 1187
49, 72360, 78569, 0, 1003
50, 64706, 78128, 0, 926
51, 60141, 78073, 0, 759
52, 51086, 76917, 0, 638
53, 45217, 76937, 0, 587
54, 38414, 76878, 0, 562
