Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 2520184, 2360191, 146614, 7918394
1, 930079, 96865, 479091, 3099345
2, 833713, 96452, 781442, 2072636
3, 779265, 95475, 10767762, 1564203
4, 732480, 96422, 7825091, 1171694
5, 702008, 96987, 0, 856142
6, 663254, 96435, 0, 623203
7, 637215, 95872, 0, 465065
8, 616173, 96165, 0, 359222
9, 592508, 94076, 0, 287481
10, 569847, 94444, 0, 235047
11, 540762, 94358, 0, 194580
12, 520423, 93569, 0, 163401
13, 493255, 92961, 0, 138056
14, 471854, 93303, 0, 117348
15, 451042, 92001, 0, 99538
16, 432582, 91615, 0, 84914
17, 416521, 90577, 0, 72704
18, 395536, 90501, 0, 62626
19, 381513, 90507, 0, 53773
20, 362854, 90063, 0, 46722
21, 349200, 89080, 0, 39823
22, 334500, 89010, 0, 34702
23, 317469, 88569, 0, 30142
24, 297169, 88419, 0, 26310
25, 285682, 87618, 0, 22762
26, 276725, 86964, 0, 19872
27, 263090, 86614, 0, 17321
28, 251798, 86177, 0, 14953
29, 241972, 86105, 0, 13316
30, 230332, 84933, 0, 11580
31, 217111, 84957, 0, 9967
32, 204884, 84019, 0, 8824
33, 195675, 83390, 0, 7750
34, 184555, 82885, 0, 6845
35, 174852, 82163, 0, 5865
36, 169192, 82099, 0, 5247
37, 163137, 81691, 0, 4608
38, 156635, 81579, 0, 3972
39, 150187, 81893, 0, 3444
40, 143203, 80920, 0, 3160
41, 136462, 80423, 0, 2730
42, 128173, 80045, 0, 2470
43, 121177, 80224, 0, 2151
44, 113129, 78952, 0, 1832
45, 104389, 78210, 0, 1640
46, 93818, 78110, 0, 1473
47, 85861, 78410, 0, 1262
48, 79410, 77279, 0, 1131
49, 71983, 77459, 0, 1008
50, 63383, 76586, 0, 868
51, 56035, 76896, 0, 753
52, 49078, 76456, 0, 673
53, 43641, 75841, 0, 601
54, 38081, 75800, 0, 552
55, 32130, 75926, 0, 465
56, 28684, 74675, 0, 422
57, 24276, 75051, 0, 367
58, 20169, 73847, 0, 351
59, 15588, 73929, 0, 280
60, 11600, 73497, 0, 267
61, 9595, 73664, 0, 220
62, 7313, 72798, 0, 199
63, 5562, 71661, 0, 172
64, 3630, 71315, 0, 1506
65, 2117, 71976, 0, 6
66, 1692, 70706, 0, 8
67, 1063, 71010, 0, 6
68, 674, 69913, 0, 4
69, 448, 69628, 0, 3
70, 114, 69532, 0, 4
71, 115, 69275, 0, 1
72, 63, 68803, 0, 4
73, 9, 67954, 0, 1
74, 34, 67546, 0, 0
75, 47, 67545, 0, 2
76, 21, 67253, 0, 0
77, 0, 66937, 0, 2
78, 0, 66902, 0, 0
79, 0, 66541, 0, 0
80, 0, 65926, 0, 0
81, 0, 65966, 0, 1
82, 0, 66045, 0, 0
83, 0, 65846, 0, 3
84, 0, 65106, 0, 0
85, 0, 64409, 0, 1
86, 0, 64122, 0, 1
87, 0, 63126, 0, 0
88, 0, 63701, 0, 0
89, 0, 63172, 0, 1
90, 0, 63337, 0, 1
91, 0, 63227, 0, 0
92, 0, 61868, 0, 0
93, 0, 62422, 0, 0
94, 0, 61673, 0, 0
95, 0, 61084, 0, 0
96, 0, 60747, 0, 0
97, 0, 61103, 0, 0
98, 0, 60208, 0, 1
99, 0, 60121, 0, 0
100, 0, 60124, 0, 0
101, 0, 58849, 0, 0
102, 0, 59575, 0, 0
103, 0, 58535, 0, 0
104, 0, 58169, 0, 0
105, 0, 58266, 0, 0
106, 0, 57795, 0, 0
107, 0, 57962, 0, 0
108, 0, 57588, 0, 0
109, 0, 56652, 0, 0
110, 0, 56969, 0, 0
111, 0, 56031, 0, 0
112, 0, 55553, 0, 0
113, 0, 55281, 0, 0
114, 0, 55463, 0, 0
115, 0, 55774, 0, 0
116, 0, 54727, 0, 0
117, 0, 54285, 0, 0
118, 0, 54864, 0, 0
119, 0, 53869, 0, 0
120, 0, 54147, 0, 0
121, 0, 54152, 0, 0
122, 0, 53286, 0, 0
123, 0, 52925, 0, 0
124, 0, 52998, 0, 0
125, 0, 52704, 0, 0
126, 0, 52649, 0, 0
127, 0, 52084, 0, 0
128, 0, 51887, 0, 0
129, 0, 51783, 0, 0
130, 0, 51367, 0, 0
131, 0, 50676, 0, 0
132, 0, 50384, 0, 0
133, 0, 50617, 0, 0
134, 0, 50304, 0, 0
135, 0, 49579, 0, 0
136, 0, 49327, 0, 0
137, 0, 49868, 0, 0
138, 0, 49446, 0, 0
139, 0, 49226, 0, 0
140, 0, 48891, 0, 0
141, 0, 48576, 0, 0
142, 0, 48307, 0, 0
143, 0, 48616, 0, 0
144, 0, 48023, 0, 0
145, 0, 47464, 0, 0
146, 0, 47723, 0, 0
147, 0, 47230, 0, 0
148, 0, 47630, 0, 0
149, 0, 47434, 0, 0
150, 0, 46918, 0, 0
151, 0, 46115, 0, 0
152, 0, 46302, 0, 0
153, 0, 46253, 0, 0
154, 0, 46072, 0, 0
155, 0, 46177, 0, 0
156, 0, 45929, 0, 0
157, 0, 45771, 0, 0
158, 0, 45287, 0, 0
159, 0, 44723, 0, 0
160, 0, 45068, 0, 0
161, 0, 44626, 0, 0
162, 0, 44099, 0, 0
163, 0, 44144, 0, 0
164, 0, 43870, 0, 0
165, 0, 43574, 0, 0
166, 0, 43154, 0, 0
167, 0, 43199, 0, 0
168, 0, 42929, 0, 0
169, 0, 42946, 0, 0
170, 0, 42509, 0, 0
171, 0, 41982, 0, 0
172, 0, 42403, 0, 0
173, 0, 42107, 0, 0
174, 0, 42127, 0, 0
175, 0, 41344, 0, 0
176, 0, 41507, 0, 0
177, 0, 40977, 0, 0
178, 0, 40895, 0, 0
179, 0, 40812, 0, 0
180, 0, 40671, 0, 0
181, 0, 40610, 0, 0
182, 0, 40251, 0, 0
183, 0, 40503, 0, 0
184, 0, 39573, 0, 0
185, 0, 39333, 0, 0
186, 0, 39309, 0, 0
187, 0, 38864, 0, 0
188, 0, 38289, 0, 0
189, 0, 38620, 0, 0
190, 0, 38007, 0, 0
191, 0, 37886, 0, 0
192, 0, 37463, 0, 0
193, 0, 37575, 0, 0
194, 0, 37742, 0, 0
195, 0, 37268, 0, 0
196, 0, 36840, 0, 0
197, 0, 36746, 0, 0
198, 0, 36552, 0, 0
199, 0, 36412, 0, 0
200, 0, 36594, 0, 0
201, 0, 35861, 0, 0
202, 0, 36051, 0, 0
203, 0, 35882, 0, 0
204, 0, 35315, 0, 0
205, 0, 35224, 0, 0
206, 0, 34408, 0, 0
207, 0, 34345, 0, 0
208, 0, 34112, 0, 0
209, 0, 34186, 0, 0
210, 0, 34142, 0, 0
211, 0, 33814, 0, 0
212, 0, 33695, 0, 0
213, 0, 33662, 0, 0
214, 0, 33634, 0, 0
215, 0, 33150, 0, 0
216, 0, 33113, 0, 0
217, 0, 33101, 0, 0
218, 0, 32894, 0, 0
219, 0, 32688, 0, 0
220, 0, 31994, 0, 0
221, 0, 31971, 0, 0
222, 0, 31709, 0, 0
223, 0, 31404, 0, 0
224, 0, 31652, 0, 0
225, 0, 31236, 0, 0
226, 0, 31610, 0, 0
227, 0, 31331, 0, 0
228, 0, 30983, 0, 0
229, 0, 31192, 0, 0
230, 0, 30585, 0, 0
231, 0, 30594, 0, 0
232, 0, 31182, 0, 0
233, 0, 30967, 0, 0
234, 0, 30509, 0, 0
235, 0, 30086, 0, 0
236, 0, 30021, 0, 0
237, 0, 29803, 0, 0
238, 0, 29483, 0, 0
239, 0, 29345, 0, 0
240, 0, 29649, 0, 0
241, 0, 28941, 0, 0
242, 0, 29281, 0, 0
243, 0, 29189, 0, 0
244, 0, 28892, 0, 0
245, 0, 28744, 0, 0
246, 0, 28375, 0, 0
247, 0, 28022, 0, 0
248, 0, 28383, 0, 0
249, 0, 28114, 0, 0
250, 0, 27648, 0, 0
251, 0, 27915, 0, 0
252, 0, 27529, 0, 0
253, 0, 27021, 0, 0
254, 0, 26701, 0, 0
255, 0, 26651, 0, 0
256, 0, 26559, 0, 0
257, 0, 26495, 0, 0
258, 0, 26653, 0, 0
259, 0, 26246, 0, 0
260, 0, 25883, 0, 0
261, 0, 26210, 0, 0
262, 0, 26090, 0, 0
263, 0, 26201, 0, 0
264, 0, 25718, 0, 0
265, 0, 25787, 0, 0
266, 0, 25543, 0, 0
267, 0, 25590, 0, 0
268, 0, 24942, 0, 0
269, 0, 25138, 0, 0
270, 0, 25001, 0, 0
271, 0, 25040, 0, 0
272, 0, 24769, 0, 0
273, 0, 24487, 0, 0
274, 0, 24289, 0, 0
275, 0, 24081, 0, 0
276, 0, 24301, 0, 0
277, 0, 24193, 0, 0
278, 0, 23771, 0, 0
279, 0, 23913, 0, 0
280, 0, 23828, 0, 0
281, 0, 23726, 0, 0
282, 0, 23553, 0, 0
283, 0, 23604, 0, 0
284, 0, 23308, 0, 0
285, 0, 23332, 0, 0
286, 0, 23121, 0, 0
287, 0, 23094, 0, 0
288, 0, 22942, 0, 0
289, 0, 22360, 0, 0
290, 0, 22370, 0, 0
291, 0, 22204, 0, 0
292, 0, 22182, 0, 0
