Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.126009, 0.11801, 0.0073307, 0.39592
1, 0.046504, 0.00484325, 0.0239546, 0.154967
2, 0.0416856, 0.0048226, 0.0390721, 0.103632
3, 0.0389632, 0.00477375, 0.538388, 0.0782102
4, 0.036624, 0.0048211, 0.391255, 0.0585847
5, 0.0351004, 0.00484935, 0, 0.0428071
6, 0.0331627, 0.00482175, 0, 0.0311602
7, 0.0318608, 0.0047936, 0, 0.0232532
8, 0.0308086, 0.00480825, 0, 0.0179611
9, 0.0296254, 0.0047038, 0, 0.014374
10, 0.0284923, 0.0047222, 0, 0.0117523
11, 0.0270381, 0.0047179, 0, 0.009729
12, 0.0260211, 0.00467845, 0, 0.00817005
13, 0.0246628, 0.00464805, 0, 0.0069028
14, 0.0235927, 0.00466515, 0, 0.0058674
15, 0.0225521, 0.00460005, 0, 0.0049769
16, 0.0216291, 0.00458075, 0, 0.0042457
17, 0.020826, 0.00452885, 0, 0.0036352
18, 0.0197768, 0.00452505, 0, 0.0031313
19, 0.0190756, 0.00452535, 0, 0.00268865
20, 0.0181427, 0.00450315, 0, 0.0023361
21, 0.01746, 0.004454, 0, 0.00199115
22, 0.016725, 0.0044505, 0, 0.0017351
23, 0.0158735, 0.00442845, 0, 0.0015071
24, 0.0148585, 0.00442095, 0, 0.0013155
25, 0.0142841, 0.0043809, 0, 0.0011381
26, 0.0138362, 0.0043482, 0, 0.0009936
27, 0.0131545, 0.0043307, 0, 0.00086605
28, 0.0125899, 0.00430885, 0, 0.00074765
29, 0.0120986, 0.00430525, 0, 0.0006658
30, 0.0115166, 0.00424665, 0, 0.000579
31, 0.0108556, 0.00424785, 0, 0.00049835
32, 0.0102442, 0.00420095, 0, 0.0004412
33, 0.00978375, 0.0041695, 0, 0.0003875
34, 0.00922775, 0.00414425, 0, 0.00034225
35, 0.0087426, 0.00410815, 0, 0.00029325
36, 0.0084596, 0.00410495, 0, 0.00026235
37, 0.00815685, 0.00408455, 0, 0.0002304
38, 0.00783175, 0.00407895, 0, 0.0001986
39, 0.00750935, 0.00409465, 0, 0.0001722
40, 0.00716015, 0.004046, 0, 0.000158
41, 0.0068231, 0.00402115, 0, 0.0001365
42, 0.00640865, 0.00400225, 0, 0.0001235
43, 0.00605885, 0.0040112, 0, 0.00010755
44, 0.00565645, 0.0039476, 0, 9.16e-05
45, 0.00521945, 0.0039105, 0, 8.2e-05
46, 0.0046909, 0.0039055, 0, 7.365e-05
47, 0.00429305, 0.0039205, 0, 6.31e-05
48, 0.0039705, 0.00386395, 0, 5.655e-05
49, 0.00359915, 0.00387295, 0, 5.04e-05
50, 0.00316915, 0.0038293, 0, 4.34e-05
51, 0.00280175, 0.0038448, 0, 3.765e-05
52, 0.0024539, 0.0038228, 0, 3.365e-05
53, 0.00218205, 0.00379205, 0, 3.005e-05
54, 0.00190405, 0.00379, 0, 2.76e-05
55, 0.0016065, 0.0037963, 0, 2.325e-05
56, 0.0014342, 0.00373375, 0, 2.11e-05
