Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8890544, 7464424, 471448, 11413159
1, 2825325, 247036, 1546967, 1457803
2, 1817503, 226113, 2565818, 1654512
3, 1383886, 209692, 4292245, 1580651
4, 1081316, 194939, 11123522, 1216916
5, 859651, 182308, 0, 792069
6, 681160, 170502, 0, 463877
7, 542585, 160868, 0, 260625
8, 432927, 151361, 0, 152804
9, 342135, 144203, 0, 99951
10, 266676, 136429, 0, 71980
11, 210162, 130293, 0, 56802
12, 159928, 124868, 0, 46927
13, 125508, 120221, 0, 40067
14, 95476, 115404, 0, 34904
15, 72178, 110739, 0, 30621
16, 53419, 107086, 0, 26867
17, 42346, 102788, 0, 24198
18, 31945, 100106, 0, 22073
19, 23670, 96759, 0, 20125
20, 17882, 93639, 0, 18393
21, 12405, 91220, 0, 16672
22, 9061, 89026, 0, 15542
23, 6824, 86495, 0, 14434
24, 4927, 84018, 0, 13454
25, 3080, 81885, 0, 12446
26, 2295, 79754, 0, 11862
27, 1539, 77716, 0, 11036
28, 1051, 75641, 0, 10488
29, 828, 74451, 0, 9800
30, 530, 72895, 0, 9128
31, 465, 71740, 0, 8787
32, 227, 70022, 0, 8463
33, 126, 68162, 0, 7889
34, 135, 67678, 0, 7635
35, 120, 65998, 0, 7133
36, 130, 64918, 0, 6991
37, 18, 63635, 0, 6494
38, 12, 62025, 0, 6276
39, 5, 61514, 0, 6048
40, 0, 60214, 0, 5706
41, 0, 59113, 0, 5595
42, 0, 58697, 0, 5375
43, 0, 57476, 0, 5204
44, 0, 57050, 0, 4991
45, 0, 55701, 0, 4611
46, 0, 55417, 0, 4619
47, 0, 54335, 0, 4521
48, 0, 53294, 0, 4297
49, 0, 52641, 0, 4180
50, 0, 51832, 0, 3999
51, 0, 50827, 0, 3941
52, 0, 49882, 0, 3786
53, 0, 49508, 0, 3633
54, 0, 48586, 0, 3541
55, 0, 48591, 0, 3432
56, 0, 47645, 0, 3291
57, 0, 46790, 0, 3298
58, 0, 46714, 0, 3120
59, 0, 45988, 0, 3029
60, 0, 45506, 0, 2979
61, 0, 44724, 0, 3016
62, 0, 44470, 0, 2896
63, 0, 43875, 0, 2733
64, 0, 43743, 0, 165983
65, 0, 42890, 0, 828
66, 0, 42407, 0, 742
67, 0, 41533, 0, 715
68, 0, 41214, 0, 776
69, 0, 40867, 0, 734
70, 0, 40577, 0, 655
71, 0, 40101, 0, 701
72, 0, 40085, 0, 659
73, 0, 39612, 0, 673
74, 0, 38870, 0, 651
