Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8975972, 7545361, 471090, 11337568
1, 2837391, 248560, 1562886, 1473748
2, 1821207, 227616, 2595102, 1678467
3, 1369955, 210069, 4329057, 1597225
4, 1074720, 196010, 11041865, 1228122
5, 852133, 183128, 0, 797331
6, 677744, 171181, 0, 466576
7, 534303, 161344, 0, 261201
8, 423896, 152051, 0, 153652
9, 332267, 144193, 0, 100118
10, 261025, 137562, 0, 72502
11, 205220, 131074, 0, 56623
12, 157139, 124991, 0, 47198
13, 120737, 119760, 0, 39615
14, 91345, 114357, 0, 34643
15, 70006, 110517, 0, 30562
16, 52872, 105831, 0, 27288
17, 38535, 103069, 0, 24373
18, 28612, 98704, 0, 21968
19, 21043, 96629, 0, 20108
20, 14925, 93398, 0, 18310
21, 10944, 90816, 0, 16683
22, 7416, 88159, 0, 15557
23, 5589, 85884, 0, 14447
24, 4095, 82675, 0, 13301
25, 2678, 81775, 0, 12533
26, 2153, 79700, 0, 11764
27, 1477, 77653, 0, 11128
28, 1167, 76366, 0, 10435
29, 909, 74155, 0, 9823
30, 670, 72996, 0, 9267
31, 592, 71057, 0, 8898
32, 462, 69436, 0, 8182
33, 294, 68286, 0, 7785
34, 230, 67410, 0, 7550
35, 84, 66399, 0, 7325
36, 58, 65107, 0, 6862
37, 42, 62978, 0, 6696
38, 81, 62586, 0, 6109
39, 12, 61110, 0, 5884
40, 0, 60031, 0, 5796
41, 0, 59463, 0, 5655
42, 0, 57921, 0, 5417
43, 0, 56990, 0, 5132
44, 0, 56010, 0, 4979
45, 0, 55549, 0, 4687
46, 0, 54236, 0, 4611
47, 0, 53399, 0, 4515
48, 0, 53370, 0, 4314
49, 0, 52383, 0, 4048
50, 0, 51580, 0, 4102
51, 0, 50849, 0, 3879
52, 0, 50105, 0, 3793
53, 0, 49944, 0, 3696
54, 0, 48707, 0, 3518
55, 0, 48621, 0, 3408
56, 0, 47792, 0, 3333
57, 0, 47107, 0, 3293
58, 0, 46484, 0, 3221
59, 0, 45689, 0, 3120
60, 0, 45505, 0, 3007
61, 0, 44904, 0, 3013
62, 0, 45078, 0, 2713
63, 0, 44063, 0, 2819
64, 0, 43531, 0, 165931
65, 0, 42899, 0, 800
66, 0, 42553, 0, 783
67, 0, 42159, 0, 729
68, 0, 41297, 0, 700
69, 0, 41027, 0, 638
70, 0, 40654, 0, 688
71, 0, 40320, 0, 701
72, 0, 39828, 0, 655
73, 0, 38982, 0, 644
74, 0, 39175, 0, 659
75, 0, 38386, 0, 613
76, 0, 38377, 0, 623
77, 0, 37923, 0, 597
78, 0, 37242, 0, 587
79, 0, 36900, 0, 589
80, 0, 36379, 0, 609
81, 0, 36327, 0, 574
82, 0, 36149, 0, 546
83, 0, 35509, 0, 548
84, 0, 35224, 0, 524
85, 0, 34793, 0, 495
86, 0, 34778, 0, 499
87, 0, 34467, 0, 524
88, 0, 34068, 0, 540
89, 0, 33909, 0, 475
90, 0, 33384, 0, 447
91, 0, 33067, 0, 483
92, 0, 33094, 0, 434
93, 0, 32703, 0, 448
94, 0, 32313, 0, 444
95, 0, 31563, 0, 470
96, 0, 31559, 0, 403
97, 0, 31814, 0, 398
98, 0, 31226, 0, 392
99, 0, 30970, 0, 372
100, 0, 30474, 0, 419
101, 0, 30577, 0, 402
102, 0, 30169, 0, 407
103, 0, 29781, 0, 371
104, 0, 29787, 0, 393
105, 0, 29549, 0, 364
106, 0, 29122, 0, 375
107, 0, 29045, 0, 380
108, 0, 28693, 0, 381
109, 0, 28948, 0, 335
110, 0, 28031, 0, 358
111, 0, 28476, 0, 330
112, 0, 28199, 0, 344
113, 0, 28027, 0, 340
114, 0, 27483, 0, 341
115, 0, 27438, 0, 347
116, 0, 27493, 0, 284
117, 0, 27037, 0, 282
118, 0, 26593, 0, 305
119, 0, 26404, 0, 340
120, 0, 26022, 0, 285
121, 0, 26353, 0, 282
122, 0, 26189, 0, 301
123, 0, 25825, 0, 282
124, 0, 25715, 0, 267
125, 0, 25651, 0, 285
126, 0, 25634, 0, 281
127, 0, 25458, 0, 267
128, 0, 24894, 0, 27876
129, 0, 24896, 0, 44
130, 0, 24708, 0, 43
131, 0, 24478, 0, 48
132, 0, 24041, 0, 32
133, 0, 24211, 0, 55
134, 0, 24109, 0, 32
135, 0, 23704, 0, 30
136, 0, 24166, 0, 51
137, 0, 23410, 0, 41
138, 0, 23526, 0, 36
139, 0, 23251, 0, 33
140, 0, 23283, 0, 32
141, 0, 23046, 0, 37
142, 0, 23026, 0, 32
143, 0, 22701, 0, 20
144, 0, 22429, 0, 33
145, 0, 22284, 0, 36
146, 0, 22433, 0, 42
147, 0, 21967, 0, 32
148, 0, 22162, 0, 37
149, 0, 22310, 0, 38
150, 0, 22032, 0, 19
151, 0, 21641, 0, 30
152, 0, 21703, 0, 34
153, 0, 21007, 0, 28
154, 0, 21026, 0, 32
155, 0, 21009, 0, 35
156, 0, 20922, 0, 24
157, 0, 20840, 0, 27
158, 0, 20707, 0, 32
159, 0, 20626, 0, 28
160, 0, 20929, 0, 34
161, 0, 20170, 0, 30
162, 0, 20270, 0, 24
163, 0, 20210, 0, 33
164, 0, 20121, 0, 21
165, 0, 20124, 0, 30
166, 0, 19736, 0, 20
167, 0, 19528, 0, 15
168, 0, 19574, 0, 31
169, 0, 19405, 0, 15
170, 0, 19387, 0, 23
171, 0, 19245, 0, 32
172, 0, 18918, 0, 22
173, 0, 18887, 0, 30
174, 0, 18750, 0, 29
175, 0, 18672, 0, 26
176, 0, 18668, 0, 24
177, 0, 18513, 0, 13
178, 0, 18693, 0, 29
179, 0, 17935, 0, 20
180, 0, 18483, 0, 25
181, 0, 18319, 0, 22
182, 0, 18197, 0, 15
183, 0, 18140, 0, 21
184, 0, 18130, 0, 19
185, 0, 17893, 0, 24
186, 0, 17893, 0, 17
187, 0, 17960, 0, 14
188, 0, 17782, 0, 20
189, 0, 17565, 0, 22
190, 0, 17497, 0, 17
191, 0, 17368, 0, 14
192, 0, 17375, 0, 1843
193, 0, 17382, 0, 2
194, 0, 16993, 0, 0
195, 0, 17330, 0, 0
196, 0, 16946, 0, 1
197, 0, 16884, 0, 1
198, 0, 17054, 0, 1
199, 0, 16903, 0, 1
200, 0, 16815, 0, 2
201, 0, 16758, 0, 1
202, 0, 16589, 0, 0
203, 0, 16585, 0, 1
204, 0, 16366, 0, 1
205, 0, 16182, 0, 1
206, 0, 16083, 0, 0
207, 0, 16186, 0, 2
208, 0, 16011, 0, 0
209, 0, 15933, 0, 2
210, 0, 15909, 0, 0
211, 0, 15784, 0, 0
212, 0, 15813, 0, 0
213, 0, 15514, 0, 2
214, 0, 15480, 0, 2
215, 0, 15866, 0, 1
216, 0, 15383, 0, 0
217, 0, 15318, 0, 0
218, 0, 15395, 0, 2
219, 0, 15099, 0, 0
220, 0, 14920, 0, 0
221, 0, 15176, 0, 0
222, 0, 14775, 0, 2
223, 0, 15220, 0, 1
224, 0, 14804, 0, 3
225, 0, 14716, 0, 1
226, 0, 14554, 0, 1
227, 0, 14566, 0, 0
228, 0, 14666, 0, 1
229, 0, 14506, 0, 0
230, 0, 14718, 0, 1
231, 0, 14357, 0, 1
232, 0, 14417, 0, 2
233, 0, 14172, 0, 0
234, 0, 14027, 0, 0
235, 0, 14405, 0, 0
236, 0, 14057, 0, 0
237, 0, 14034, 0, 1
238, 0, 13976, 0, 0
239, 0, 13745, 0, 0
240, 0, 13832, 0, 0
241, 0, 13798, 0, 0
242, 0, 13862, 0, 1
243, 0, 13648, 0, 1
244, 0, 13825, 0, 0
245, 0, 13547, 0, 1
246, 0, 13270, 0, 0
247, 0, 13484, 0, 1
248, 0, 13201, 0, 1
249, 0, 13363, 0, 1
250, 0, 13145, 0, 1
251, 0, 13211, 0, 0
252, 0, 13249, 0, 0
253, 0, 13283, 0, 0
254, 0, 13043, 0, 3
255, 0, 12911, 0, 0
256, 0, 12861, 0, 24
257, 0, 12605, 0, 0
258, 0, 12690, 0, 0
259, 0, 12735, 0, 0
260, 0, 12772, 0, 0
261, 0, 12381, 0, 0
262, 0, 12419, 0, 0
263, 0, 12333, 0, 0
264, 0, 12722, 0, 0
265, 0, 12308, 0, 0
266, 0, 12203, 0, 0
267, 0, 12390, 0, 0
268, 0, 12281, 0, 0
269, 0, 12254, 0, 0
270, 0, 12277, 0, 0
271, 0, 12401, 0, 0
272, 0, 12287, 0, 0
273, 0, 12102, 0, 0
274, 0, 11854, 0, 0
275, 0, 11792, 0, 0
276, 0, 11794, 0, 0
277, 0, 11823, 0, 0
278, 0, 11812, 0, 0
279, 0, 11536, 0, 0
280, 0, 11653, 0, 0
281, 0, 11841, 0, 0
282, 0, 11568, 0, 0
283, 0, 11551, 0, 0
284, 0, 11397, 0, 0
285, 0, 11529, 0, 0
286, 0, 11557, 0, 0
287, 0, 11280, 0, 0
288, 0, 11525, 0, 0
289, 0, 11378, 0, 0
290, 0, 11310, 0, 0
291, 0, 11196, 0, 0
292, 0, 11266, 0, 0
293, 0, 10953, 0, 0
294, 0, 11225, 0, 0
295, 0, 11087, 0, 0
296, 0, 11048, 0, 0
297, 0, 10952, 0, 0
298, 0, 10917, 0, 0
299, 0, 10934, 0, 0
300, 0, 10835, 0, 0
301, 0, 10762, 0, 0
302, 0, 10741, 0, 0
303, 0, 10831, 0, 0
304, 0, 10665, 0, 0
305, 0, 10767, 0, 0
306, 0, 10686, 0, 0
307, 0, 10661, 0, 0
308, 0, 10432, 0, 0
309, 0, 10397, 0, 0
310, 0, 10672, 0, 0
311, 0, 10412, 0, 0
312, 0, 10598, 0, 0
313, 0, 10477, 0, 0
314, 0, 10408, 0, 0
315, 0, 10181, 0, 0
316, 0, 10128, 0, 0
317, 0, 10149, 0, 0
318, 0, 10127, 0, 0
319, 0, 10174, 0, 0
320, 0, 10273, 0, 0
321, 0, 9903, 0, 0
322, 0, 10009, 0, 0
323, 0, 9875, 0, 0
324, 0, 9821, 0, 0
325, 0, 10032, 0, 0
326, 0, 9950, 0, 0
327, 0, 9959, 0, 0
328, 0, 9762, 0, 0
329, 0, 9869, 0, 0
330, 0, 9669, 0, 0
331, 0, 9829, 0, 0
332, 0, 9580, 0, 0
333, 0, 9683, 0, 0
334, 0, 9489, 0, 0
335, 0, 9429, 0, 0
336, 0, 9651, 0, 0
337, 0, 9421, 0, 0
338, 0, 9422, 0, 0
339, 0, 9293, 0, 0
340, 0, 9485, 0, 0
341, 0, 9288, 0, 0
342, 0, 9472, 0, 0
343, 0, 9486, 0, 0
344, 0, 9198, 0, 0
345, 0, 9270, 0, 0
346, 0, 9011, 0, 0
347, 0, 9100, 0, 0
348, 0, 9203, 0, 0
349, 0, 9164, 0, 0
350, 0, 9286, 0, 0
351, 0, 8900, 0, 0
352, 0, 8921, 0, 0
353, 0, 8797, 0, 0
354, 0, 9074, 0, 0
355, 0, 8840, 0, 0
356, 0, 8764, 0, 0
357, 0, 8850, 0, 0
358, 0, 9003, 0, 0
359, 0, 8795, 0, 0
360, 0, 8632, 0, 0
361, 0, 8597, 0, 0
362, 0, 8769, 0, 0
363, 0, 8702, 0, 0
364, 0, 8690, 0, 0
365, 0, 8550, 0, 0
366, 0, 8437, 0, 0
367, 0, 8617, 0, 0
368, 0, 8355, 0, 0
369, 0, 8546, 0, 0
370, 0, 8693, 0, 0
371, 0, 8332, 0, 0
372, 0, 8262, 0, 0
373, 0, 8481, 0, 0
374, 0, 8419, 0, 0
375, 0, 8384, 0, 0
376, 0, 8191, 0, 0
377, 0, 8344, 0, 0
378, 0, 8163, 0, 0
379, 0, 8180, 0, 0
380, 0, 8184, 0, 0
381, 0, 8041, 0, 0
382, 0, 8127, 0, 0
383, 0, 8195, 0, 0
384, 0, 8193, 0, 0
385, 0, 8031, 0, 0
386, 0, 7992, 0, 0
387, 0, 7943, 0, 0
388, 0, 8124, 0, 0
389, 0, 8074, 0, 0
390, 0, 7935, 0, 0
391, 0, 8052, 0, 0
392, 0, 7852, 0, 0
393, 0, 7789, 0, 0
394, 0, 7819, 0, 0
395, 0, 7892, 0, 0
396, 0, 7830, 0, 0
397, 0, 7928, 0, 0
398, 0, 7846, 0, 0
399, 0, 7647, 0, 0
400, 0, 7627, 0, 0
401, 0, 7725, 0, 0
402, 0, 7777, 0, 0
403, 0, 7530, 0, 0
404, 0, 7471, 0, 0
405, 0, 7547, 0, 0
406, 0, 7463, 0, 0
407, 0, 7538, 0, 0
408, 0, 7714, 0, 0
409, 0, 7692, 0, 0
410, 0, 7533, 0, 0
411, 0, 7546, 0, 0
412, 0, 7522, 0, 0
413, 0, 7485, 0, 0
414, 0, 7410, 0, 0
415, 0, 7658, 0, 0
416, 0, 7550, 0, 0
417, 0, 7260, 0, 0
418, 0, 7271, 0, 0
419, 0, 7113, 0, 0
420, 0, 7304, 0, 0
421, 0, 7318, 0, 0
422, 0, 7213, 0, 0
423, 0, 7239, 0, 0
424, 0, 7261, 0, 0
425, 0, 7216, 0, 0
426, 0, 7056, 0, 0
427, 0, 7367, 0, 0
428, 0, 7397, 0, 0
429, 0, 6966, 0, 0
430, 0, 7095, 0, 0
431, 0, 7074, 0, 0
432, 0, 7161, 0, 0
433, 0, 7082, 0, 0
434, 0, 7022, 0, 0
435, 0, 7037, 0, 0
436, 0, 7060, 0, 0
437, 0, 6944, 0, 0
438, 0, 6907, 0, 0
439, 0, 6913, 0, 0
440, 0, 7003, 0, 0
441, 0, 6932, 0, 0
442, 0, 6980, 0, 0
443, 0, 7066, 0, 0
444, 0, 6820, 0, 0
445, 0, 6835, 0, 0
446, 0, 6903, 0, 0
447, 0, 6899, 0, 0
448, 0, 6715, 0, 0
449, 0, 6711, 0, 0
450, 0, 6397, 0, 0
451, 0, 6467, 0, 0
452, 0, 6463, 0, 0
453, 0, 6530, 0, 0
454, 0, 6574, 0, 0
455, 0, 6515, 0, 0
456, 0, 6485, 0, 0
457, 0, 6197, 0, 0
458, 0, 6174, 0, 0
459, 0, 6094, 0, 0
460, 0, 6189, 0, 0
461, 0, 6241, 0, 0
462, 0, 6265, 0, 0
463, 0, 6265, 0, 0
464, 0, 6014, 0, 0
465, 0, 6059, 0, 0
466, 0, 6091, 0, 0
467, 0, 6196, 0, 0
468, 0, 5862, 0, 0
469, 0, 5994, 0, 0
470, 0, 6032, 0, 0
471, 0, 6070, 0, 0
472, 0, 5928, 0, 0
473, 0, 5888, 0, 0
474, 0, 5775, 0, 0
475, 0, 5842, 0, 0
476, 0, 5571, 0, 0
477, 0, 5765, 0, 0
478, 0, 5663, 0, 0
479, 0, 5698, 0, 0
480, 0, 5829, 0, 0
481, 0, 5809, 0, 0
482, 0, 5668, 0, 0
483, 0, 5981, 0, 0
484, 0, 5946, 0, 0
485, 0, 5942, 0, 0
486, 0, 6068, 0, 0
487, 0, 6016, 0, 0
488, 0, 6411, 0, 0
489, 0, 6373, 0, 0
490, 0, 6478, 0, 0
491, 0, 6998, 0, 0
492, 0, 7043, 0, 0
493, 0, 7623, 0, 0
494, 0, 8208, 0, 0
495, 0, 8946, 0, 0
496, 0, 10149, 0, 0
497, 0, 11260, 0, 0
498, 0, 12495, 0, 0
499, 0, 13994, 0, 0
500, 0, 14874, 0, 0
501, 0, 18254, 0, 0
502, 0, 19606, 0, 0
503, 0, 21500, 0, 0
504, 0, 24469, 0, 0
505, 0, 26319, 0, 0
506, 0, 29783, 0, 0
507, 0, 32580, 0, 0
508, 0, 36359, 0, 0
509, 0, 38434, 0, 0
510, 0, 40165, 0, 0
511, 0, 40228, 0, 0
512, 0, 34010, 0, 0
