Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8908029, 7476150, 470631, 11402645
1, 2846860, 247094, 1550081, 1460221
2, 1823634, 226507, 2567538, 1659035
3, 1381899, 209894, 4300435, 1583705
4, 1076997, 195286, 11111315, 1216735
5, 858099, 182022, 0, 792564
6, 676139, 171252, 0, 462012
7, 532019, 161855, 0, 260697
8, 421871, 152125, 0, 152530
9, 334847, 144530, 0, 99952
10, 263319, 137866, 0, 72410
11, 205516, 130790, 0, 56915
12, 164002, 124902, 0, 46903
13, 127414, 119534, 0, 40095
14, 96330, 116032, 0, 34863
15, 72294, 110246, 0, 30730
16, 53331, 107226, 0, 27292
17, 40356, 103969, 0, 24381
18, 31272, 100048, 0, 22271
19, 23123, 96684, 0, 20098
20, 16797, 93858, 0, 18364
21, 12016, 91473, 0, 16848
22, 8869, 88257, 0, 15784
23, 6568, 85857, 0, 14377
24, 5370, 84206, 0, 13374
25, 3793, 82564, 0, 12707
26, 2989, 79802, 0, 11795
27, 1969, 77974, 0, 11062
28, 1477, 76288, 0, 10494
29, 801, 74348, 0, 9821
30, 520, 72961, 0, 9292
31, 404, 71338, 0, 8828
32, 268, 69768, 0, 8401
33, 215, 68588, 0, 7803
34, 161, 67078, 0, 7737
35, 148, 66510, 0, 7195
36, 90, 65112, 0, 7135
37, 64, 63379, 0, 6553
38, 2, 62168, 0, 6198
39, 6, 61246, 0, 6087
40, 15, 61352, 0, 5800
41, 27, 59613, 0, 5629
42, 60, 58120, 0, 5356
43, 18, 57796, 0, 5112
44, 2, 57074, 0, 5003
45, 0, 55866, 0, 4716
46, 0, 54774, 0, 4747
47, 0, 54277, 0, 4503
48, 0, 53457, 0, 4330
49, 0, 52648, 0, 4371
50, 0, 52284, 0, 3994
51, 0, 50612, 0, 3870
52, 0, 50709, 0, 3654
53, 0, 49517, 0, 3777
54, 0, 48913, 0, 3548
55, 0, 48424, 0, 3558
56, 0, 47672, 0, 3362
57, 0, 47589, 0, 3270
58, 0, 46510, 0, 3219
59, 0, 46177, 0, 3084
60, 0, 45745, 0, 3003
61, 0, 44504, 0, 2985
62, 0, 44270, 0, 2931
63, 0, 43969, 0, 2784
64, 0, 42770, 0, 166550
65, 0, 43009, 0, 789
66, 0, 42104, 0, 702
67, 0, 41984, 0, 728
68, 0, 41551, 0, 741
69, 0, 41233, 0, 722
70, 0, 40521, 0, 683
71, 0, 40727, 0, 702
72, 0, 39732, 0, 695
73, 0, 39508, 0, 627
74, 0, 39159, 0, 644
75, 0, 39226, 0, 653
76, 0, 38193, 0, 625
77, 0, 37917, 0, 566
78, 0, 37320, 0, 559
79, 0, 37350, 0, 613
80, 0, 37067, 0, 530
81, 0, 36219, 0, 531
82, 0, 36184, 0, 566
83, 0, 35661, 0, 606
84, 0, 35464, 0, 537
85, 0, 35310, 0, 552
86, 0, 34299, 0, 501
87, 0, 34265, 0, 495
88, 0, 34070, 0, 484
89, 0, 33869, 0, 516
90, 0, 33472, 0, 453
91, 0, 33638, 0, 424
92, 0, 33289, 0, 466
93, 0, 32695, 0, 500
94, 0, 31910, 0, 441
95, 0, 32089, 0, 442
96, 0, 32057, 0, 404
97, 0, 31565, 0, 418
98, 0, 31665, 0, 406
99, 0, 31249, 0, 435
100, 0, 31012, 0, 380
101, 0, 31110, 0, 453
102, 0, 30526, 0, 402
103, 0, 29866, 0, 375
104, 0, 29709, 0, 378
105, 0, 29405, 0, 391
106, 0, 29260, 0, 364
107, 0, 29218, 0, 362
108, 0, 29210, 0, 370
109, 0, 28945, 0, 324
110, 0, 29003, 0, 388
111, 0, 28409, 0, 332
112, 0, 27935, 0, 318
113, 0, 27741, 0, 340
114, 0, 27984, 0, 323
