Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8951166, 7520876, 473323, 11363431
1, 2832106, 247975, 1555084, 1468108
2, 1816122, 227300, 2581190, 1671569
3, 1370624, 210592, 4320597, 1592215
4, 1077723, 195800, 11069806, 1221110
5, 858948, 182140, 0, 796781
6, 679355, 170783, 0, 464455
7, 544150, 161320, 0, 261890
8, 427170, 151666, 0, 153210
9, 334264, 144262, 0, 100509
10, 261734, 136204, 0, 72247
11, 201318, 130372, 0, 56798
12, 156058, 124813, 0, 46878
13, 121539, 119571, 0, 39702
14, 91398, 114254, 0, 34686
15, 72264, 109990, 0, 30476
16, 53547, 105824, 0, 26925
17, 40079, 103047, 0, 24236
18, 30424, 99387, 0, 22063
19, 21986, 96014, 0, 19882
20, 16007, 93702, 0, 18324
21, 12418, 90652, 0, 16964
22, 8387, 87914, 0, 15612
23, 6247, 86273, 0, 14337
24, 4424, 83652, 0, 13533
25, 3239, 81724, 0, 12614
26, 2535, 79484, 0, 11696
27, 1764, 77622, 0, 11013
28, 1128, 76588, 0, 10451
29, 719, 74283, 0, 9861
30, 410, 73428, 0, 9316
31, 259, 71310, 0, 8797
32, 112, 69960, 0, 8280
33, 103, 67987, 0, 7862
34, 23, 67790, 0, 7687
35, 62, 65790, 0, 7180
36, 14, 64179, 0, 6889
37, 8, 63525, 0, 6584
38, 19, 62687, 0, 6315
39, 14, 61309, 0, 6023
40, 12, 60515, 0, 5786
41, 45, 59260, 0, 5716
42, 19, 58495, 0, 5290
43, 3, 56988, 0, 5117
44, 36, 57470, 0, 5039
45, 18, 55441, 0, 4745
46, 0, 54589, 0, 4597
47, 0, 53853, 0, 4486
48, 0, 53561, 0, 4335
49, 0, 52650, 0, 4205
50, 0, 51658, 0, 4049
51, 0, 51059, 0, 3891
52, 0, 50687, 0, 3807
53, 0, 50155, 0, 3651
54, 0, 49076, 0, 3598
55, 0, 48406, 0, 3460
56, 0, 47659, 0, 3417
57, 0, 47114, 0, 3274
58, 0, 47033, 0, 3178
59, 0, 46017, 0, 3161
60, 0, 45716, 0, 3005
61, 0, 44669, 0, 2933
62, 0, 44245, 0, 2823
63, 0, 43620, 0, 2829
64, 0, 43325, 0, 166388
65, 0, 43229, 0, 734
66, 0, 42618, 0, 743
67, 0, 42372, 0, 728
68, 0, 41784, 0, 732
69, 0, 41545, 0, 760
70, 0, 40813, 0, 726
71, 0, 39842, 0, 639
72, 0, 40177, 0, 634
73, 0, 39513, 0, 682
74, 0, 38994, 0, 668
75, 0, 38556, 0, 622
76, 0, 38078, 0, 638
77, 0, 38419, 0, 604
78, 0, 37561, 0, 577
79, 0, 37048, 0, 572
80, 0, 36656, 0, 546
81, 0, 36674, 0, 558
82, 0, 35908, 0, 579
83, 0, 35736, 0, 540
84, 0, 35390, 0, 552
85, 0, 34761, 0, 536
86, 0, 35198, 0, 496
87, 0, 34235, 0, 515
88, 0, 33907, 0, 504
89, 0, 33794, 0, 491
90, 0, 33425, 0, 445
91, 0, 33567, 0, 462
92, 0, 32969, 0, 490
93, 0, 32858, 0, 451
94, 0, 32185, 0, 436
95, 0, 31613, 0, 430
96, 0, 32048, 0, 461
97, 0, 31671, 0, 458
98, 0, 31648, 0, 420
99, 0, 30971, 0, 430
100, 0, 30850, 0, 394
101, 0, 30453, 0, 386
102, 0, 30644, 0, 408
103, 0, 30501, 0, 363
104, 0, 30006, 0, 408
105, 0, 29726, 0, 380
106, 0, 29329, 0, 373
107, 0, 29666, 0, 353
108, 0, 29004, 0, 360
109, 0, 28776, 0, 343
110, 0, 28821, 0, 366
111, 0, 28455, 0, 359
112, 0, 28136, 0, 349
