Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8954103, 7533293, 481023, 11346975
1, 2826928, 246953, 1575409, 1469706
2, 1819795, 227015, 2586259, 1669840
3, 1373995, 209724, 4304925, 1597168
4, 1082503, 194114, 11052384, 1228757
5, 859399, 182200, 0, 799579
6, 687918, 170865, 0, 466283
7, 540908, 160461, 0, 262190
8, 425226, 151698, 0, 152755
9, 331056, 143480, 0, 99977
10, 262057, 136884, 0, 72284
11, 203276, 130249, 0, 57191
12, 156934, 124189, 0, 46556
13, 120278, 118988, 0, 39887
14, 93368, 114197, 0, 34767
15, 69852, 110689, 0, 30655
16, 52059, 105969, 0, 27113
17, 39321, 103299, 0, 24186
18, 28918, 98478, 0, 21948
19, 20569, 95513, 0, 20310
20, 15243, 93641, 0, 18373
21, 10614, 90191, 0, 17017
22, 8253, 88098, 0, 15512
23, 5708, 85162, 0, 14295
24, 3921, 84077, 0, 13245
25, 2491, 81441, 0, 12524
26, 1648, 79491, 0, 11692
27, 1141, 77889, 0, 11074
28, 734, 75679, 0, 10435
29, 466, 74611, 0, 9791
30, 339, 72789, 0, 9236
31, 236, 70636, 0, 8876
32, 202, 69946, 0, 8297
33, 188, 68432, 0, 8002
34, 112, 67212, 0, 7536
35, 20, 65759, 0, 7240
36, 10, 64568, 0, 6766
37, 7, 63479, 0, 6601
38, 24, 61765, 0, 6282
39, 36, 61488, 0, 6280
40, 22, 60189, 0, 5748
41, 50, 59389, 0, 5527
42, 31, 57749, 0, 5323
43, 28, 57225, 0, 5089
44, 9, 56313, 0, 4962
45, 4, 55475, 0, 4812
46, 0, 54716, 0, 4564
47, 0, 53766, 0, 4379
48, 0, 53324, 0, 4318
49, 0, 52427, 0, 4196
50, 0, 51970, 0, 4056
51, 0, 51372, 0, 3971
52, 0, 50066, 0, 3839
53, 0, 49203, 0, 3657
54, 0, 49670, 0, 3548
55, 0, 48244, 0, 3505
56, 0, 47898, 0, 3347
57, 0, 47043, 0, 3392
58, 0, 46601, 0, 3099
59, 0, 46105, 0, 3113
60, 0, 45471, 0, 2912
61, 0, 45202, 0, 2972
62, 0, 44119, 0, 2881
63, 0, 43594, 0, 2759
64, 0, 43048, 0, 165366
65, 0, 43031, 0, 785
66, 0, 42449, 0, 737
67, 0, 41823, 0, 778
68, 0, 41469, 0, 704
