Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.445958, 0.374437, 0.0240004, 0.569585
1, 0.141524, 0.0122845, 0.078065, 0.0731125
2, 0.0909982, 0.011269, 0.128377, 0.0831475
3, 0.0688583, 0.0105218, 0.214556, 0.079283
4, 0.0540926, 0.00967825, 0.555001, 0.0609097
5, 0.043063, 0.00904315, 0, 0.0396955
6, 0.0341097, 0.0085064, 0, 0.0231544
7, 0.0272941, 0.00802335, 0, 0.01299
8, 0.0215254, 0.00756505, 0, 0.0076638
9, 0.0169447, 0.0071891, 0, 0.0049965
10, 0.0131419, 0.0067909, 0, 0.00359335
11, 0.010274, 0.00656265, 0, 0.00284155
12, 0.00792755, 0.00626525, 0, 0.00234335
13, 0.0060433, 0.00598825, 0, 0.0019945
14, 0.00455425, 0.0057653, 0, 0.00173575
15, 0.00349615, 0.0055284, 0, 0.0015396
16, 0.0026298, 0.0053371, 0, 0.00135545
17, 0.0020374, 0.00519835, 0, 0.0012179
18, 0.00147845, 0.0049936, 0, 0.001114
19, 0.00104375, 0.00483445, 0, 0.001
20, 0.0007739, 0.0047123, 0, 0.00091015
21, 0.00056925, 0.00454555, 0, 0.0008535
22, 0.0004371, 0.0044265, 0, 0.0007822
23, 0.0003233, 0.004346, 0, 0.00071945
24, 0.0002385, 0.0041923, 0, 0.0006594
25, 0.0001882, 0.004073, 0, 0.0006403
26, 0.0001293, 0.0040032, 0, 0.00059715
27, 9.325e-05, 0.00389505, 0, 0.00055525
28, 7.02e-05, 0.00384635, 0, 0.00052275
29, 5.235e-05, 0.00373275, 0, 0.0004937
30, 5.33e-05, 0.0036535, 0, 0.0004625
31, 2.625e-05, 0.00358865, 0, 0.00043875
32, 1.405e-05, 0.0034939, 0, 0.0004227
33, 1.15e-05, 0.0034425, 0, 0.0003969
34, 6.1e-06, 0.00335945, 0, 0.000374
35, 4.5e-06, 0.0033178, 0, 0.0003625
36, 6e-06, 0.00326765, 0, 0.0003483
37, 3.75e-06, 0.00318995, 0, 0.0003319
38, 2.4e-06, 0.0031352, 0, 0.00032345
39, 1.4e-06, 0.00308925, 0, 0.0003022
40, 4e-07, 0.003009, 0, 0.0002822
41, 0, 0.0029889, 0, 0.00027745
42, 0, 0.00291995, 0, 0.00027445
43, 0, 0.00287225, 0, 0.00026295
44, 0, 0.00283095, 0, 0.0002444
45, 0, 0.00279805, 0, 0.00023975
46, 0, 0.00272905, 0, 0.0002376
47, 0, 0.0027098, 0, 0.00022215
48, 0, 0.002688, 0, 0.00021745
49, 0, 0.00262775, 0, 0.00020765
50, 0, 0.0025832, 0, 0.00020265
51, 0, 0.00254555, 0, 0.0001973
52, 0, 0.0025026, 0, 0.0001908
53, 0, 0.00252175, 0, 0.0001835
54, 0, 0.0024485, 0, 0.0001778
55, 0, 0.0024242, 0, 0.0001729
56, 0, 0.0023698, 0, 0.00017465
57, 0, 0.0023641, 0, 0.00016445
58, 0, 0.0023265, 0, 0.000163
59, 0, 0.0022929, 0, 0.0001568
60, 0, 0.0022846, 0, 0.0001504
61, 0, 0.00226905, 0, 0.00014565
62, 0, 0.0022025, 0, 0.0001426
63, 0, 0.00216975, 0, 0.0001428
64, 0, 0.0022015, 0, 0.00834465
65, 0, 0.00216445, 0, 3.81e-05
66, 0, 0.00213115, 0, 4.01e-05
67, 0, 0.0021116, 0, 3.815e-05
68, 0, 0.00209215, 0, 3.525e-05
69, 0, 0.0020514, 0, 3.62e-05
70, 0, 0.00206165, 0, 3.51e-05
71, 0, 0.00201615, 0, 3.51e-05
72, 0, 0.0020205, 0, 3.25e-05
73, 0, 0.00196815, 0, 3.275e-05
74, 0, 0.00196415, 0, 3.225e-05
75, 0, 0.00192495, 0, 3.205e-05
76, 0, 0.00192295, 0, 2.915e-05
77, 0, 0.0019137, 0, 2.955e-05
78, 0, 0.00190365, 0, 3.055e-05
79, 0, 0.00184205, 0, 2.93e-05
80, 0, 0.0018559, 0, 2.96e-05
81, 0, 0.00182225, 0, 2.88e-05
82, 0, 0.0018358, 0, 2.825e-05
83, 0, 0.00179325, 0, 2.615e-05
84, 0, 0.00178375, 0, 2.825e-05
85, 0, 0.00177105, 0, 2.515e-05
86, 0, 0.00173415, 0, 2.535e-05
87, 0, 0.00172455, 0, 2.435e-05
88, 0, 0.00170925, 0, 2.6e-05
89, 0, 0.0016988, 0, 2.435e-05
90, 0, 0.0016894, 0, 2.29e-05
91, 0, 0.0016877, 0, 2.31e-05
92, 0, 0.0016762, 0, 2.31e-05
93, 0, 0.0016621, 0, 2.25e-05
94, 0, 0.0016465, 0, 2.19e-05
95, 0, 0.0016401, 0, 2.445e-05
96, 0, 0.0016057, 0, 2.22e-05
97, 0, 0.00159835, 0, 2.15e-05
98, 0, 0.0016054, 0, 2.1e-05
99, 0, 0.0015553, 0, 1.955e-05
100, 0, 0.0015597, 0, 2.04e-05
101, 0, 0.001518, 0, 2.015e-05
102, 0, 0.00152995, 0, 2.045e-05
103, 0, 0.0015073, 0, 1.985e-05
104, 0, 0.0014866, 0, 1.89e-05
105, 0, 0.0014974, 0, 1.97e-05
106, 0, 0.00146555, 0, 1.92e-05
107, 0, 0.00146005, 0, 1.84e-05
108, 0, 0.0014591, 0, 1.73e-05
109, 0, 0.00147005, 0, 1.575e-05
110, 0, 0.00144285, 0, 1.66e-05
111, 0, 0.00141835, 0, 1.74e-05
112, 0, 0.0014014, 0, 1.635e-05
113, 0, 0.00140425, 0, 1.595e-05
114, 0, 0.0013859, 0, 1.755e-05
115, 0, 0.0013835, 0, 1.7e-05
116, 0, 0.0013627, 0, 1.65e-05
117, 0, 0.0013657, 0, 1.625e-05
118, 0, 0.00134515, 0, 1.53e-05
119, 0, 0.00132445, 0, 1.56e-05
120, 0, 0.001344, 0, 1.615e-05
121, 0, 0.0013189, 0, 1.355e-05
122, 0, 0.0013149, 0, 1.645e-05
123, 0, 0.00130255, 0, 1.625e-05
124, 0, 0.00129425, 0, 1.38e-05
125, 0, 0.0012895, 0, 1.445e-05
126, 0, 0.0012665, 0, 1.28e-05
127, 0, 0.00126625, 0, 1.39e-05
128, 0, 0.00125735, 0, 0.00138945
129, 0, 0.00124715, 0, 2.2e-06
130, 0, 0.0012417, 0, 1.75e-06
131, 0, 0.00124095, 0, 2.55e-06
132, 0, 0.0012231, 0, 1.9e-06
133, 0, 0.00122065, 0, 1.95e-06
134, 0, 0.0012302, 0, 1.75e-06
135, 0, 0.0012226, 0, 2.15e-06
136, 0, 0.0011855, 0, 2.3e-06
137, 0, 0.00117055, 0, 2.4e-06
138, 0, 0.00118515, 0, 2.2e-06
139, 0, 0.00118445, 0, 1.7e-06
140, 0, 0.00118815, 0, 2.05e-06
141, 0, 0.00116, 0, 1.8e-06
142, 0, 0.00114795, 0, 2.2e-06
143, 0, 0.0011569, 0, 1.9e-06
144, 0, 0.00114575, 0, 1.75e-06
145, 0, 0.00113195, 0, 1.65e-06
146, 0, 0.00112645, 0, 1.6e-06
147, 0, 0.0011209, 0, 1.8e-06
148, 0, 0.0011083, 0, 1.9e-06
149, 0, 0.0011174, 0, 1.5e-06
150, 0, 0.00109415, 0, 1.95e-06
151, 0, 0.00109505, 0, 1.45e-06
152, 0, 0.00108515, 0, 1.45e-06
153, 0, 0.00108345, 0, 1.8e-06
154, 0, 0.00107285, 0, 1.45e-06
155, 0, 0.0010967, 0, 2.05e-06
156, 0, 0.00106785, 0, 2.3e-06
157, 0, 0.00105825, 0, 2.2e-06
158, 0, 0.001045, 0, 1.55e-06
159, 0, 0.0010454, 0, 1.35e-06
160, 0, 0.00103485, 0, 1.4e-06
161, 0, 0.00102585, 0, 1.3e-06
162, 0, 0.0010217, 0, 1.6e-06
163, 0, 0.00103575, 0, 1.55e-06
164, 0, 0.00100735, 0, 1.45e-06
165, 0, 0.0010063, 0, 1.3e-06
166, 0, 0.0010175, 0, 1.2e-06
167, 0, 0.0010097, 0, 1.4e-06
168, 0, 0.00099275, 0, 1.1e-06
169, 0, 0.00098895, 0, 1.4e-06
170, 0, 0.0009884, 0, 1.4e-06
171, 0, 0.0009724, 0, 1.6e-06
172, 0, 0.0009647, 0, 1.3e-06
173, 0, 0.00097705, 0, 1.3e-06
174, 0, 0.00096285, 0, 1.15e-06
175, 0, 0.0009587, 0, 1.25e-06
176, 0, 0.00092655, 0, 1.7e-06
177, 0, 0.0009324, 0, 1e-06
178, 0, 0.000932, 0, 1.15e-06
179, 0, 0.00091465, 0, 1.15e-06
180, 0, 0.00092665, 0, 1.6e-06
181, 0, 0.0009043, 0, 1.25e-06
182, 0, 0.00092565, 0, 1e-06
183, 0, 0.0009164, 0, 6.5e-07
184, 0, 0.0009208, 0, 1.5e-06
185, 0, 0.0008895, 0, 1.15e-06
186, 0, 0.0008865, 0, 1.2e-06
187, 0, 0.0009034, 0, 1.4e-06
188, 0, 0.0008886, 0, 1.25e-06
189, 0, 0.0008983, 0, 1.15e-06
190, 0, 0.00089355, 0, 1e-06
191, 0, 0.00087215, 0, 8.5e-07
192, 0, 0.00087485, 0, 9.54e-05
193, 0, 0.00086495, 0, 5e-08
194, 0, 0.0008645, 0, 0
195, 0, 0.0008573, 0, 0
196, 0, 0.0008505, 0, 1e-07
197, 0, 0.0008548, 0, 0
198, 0, 0.00086645, 0, 5e-08
199, 0, 0.00084005, 0, 0
200, 0, 0.00085065, 0, 5e-08
201, 0, 0.0008332, 0, 0
202, 0, 0.00082305, 0, 5e-08
203, 0, 0.00083015, 0, 0
204, 0, 0.00083105, 0, 0
205, 0, 0.00081175, 0, 5e-08
206, 0, 0.000801, 0, 0
207, 0, 0.00080305, 0, 5e-08
208, 0, 0.00079485, 0, 5e-08
209, 0, 0.0008097, 0, 1e-07
210, 0, 0.00081165, 0, 0
211, 0, 0.0007961, 0, 1.5e-07
212, 0, 0.00078895, 0, 0
213, 0, 0.00079605, 0, 0
214, 0, 0.0007899, 0, 5e-08
215, 0, 0.0007815, 0, 5e-08
216, 0, 0.00078905, 0, 5e-08
217, 0, 0.00076415, 0, 0
218, 0, 0.0007637, 0, 0
219, 0, 0.0007723, 0, 0
220, 0, 0.0007629, 0, 0
221, 0, 0.00074175, 0, 5e-08
222, 0, 0.0007552, 0, 0
223, 0, 0.00077465, 0, 1e-07
224, 0, 0.0007445, 0, 0
225, 0, 0.00074025, 0, 0
226, 0, 0.000752, 0, 0
227, 0, 0.00073785, 0, 5e-08
228, 0, 0.00072835, 0, 0
229, 0, 0.00072305, 0, 5e-08
230, 0, 0.000729, 0, 0
231, 0, 0.0007242, 0, 0
232, 0, 0.00072555, 0, 5e-08
233, 0, 0.0007277, 0, 0
234, 0, 0.0007113, 0, 1.5e-07
235, 0, 0.0007061, 0, 1e-07
236, 0, 0.00070445, 0, 0
237, 0, 0.000698, 0, 0
238, 0, 0.00069205, 0, 5e-08
239, 0, 0.000695, 0, 0
240, 0, 0.00068695, 0, 5e-08
241, 0, 0.00069625, 0, 0
242, 0, 0.00068945, 0, 0
243, 0, 0.0006885, 0, 0
244, 0, 0.00068125, 0, 5e-08
245, 0, 0.0006808, 0, 5e-08
246, 0, 0.00068575, 0, 5e-08
247, 0, 0.00066225, 0, 0
248, 0, 0.0006592, 0, 5e-08
249, 0, 0.0006584, 0, 0
250, 0, 0.0006666, 0, 0
251, 0, 0.00065495, 0, 0
252, 0, 0.0006554, 0, 0
253, 0, 0.00065755, 0, 0
254, 0, 0.000656, 0, 0
255, 0, 0.00065585, 0, 5e-08
256, 0, 0.0006586, 0, 1.1e-06
257, 0, 0.0006406, 0, 0
258, 0, 0.00064165, 0, 0
259, 0, 0.00063495, 0, 0
260, 0, 0.0006384, 0, 0
261, 0, 0.0006331, 0, 0
262, 0, 0.00063965, 0, 0
263, 0, 0.00061775, 0, 0
264, 0, 0.00063865, 0, 0
265, 0, 0.00062705, 0, 0
266, 0, 0.00063235, 0, 0
267, 0, 0.0006197, 0, 0
268, 0, 0.0006111, 0, 0
269, 0, 0.0006142, 0, 0
270, 0, 0.00061495, 0, 0
271, 0, 0.00061515, 0, 0
272, 0, 0.0006101, 0, 0
273, 0, 0.00061345, 0, 0
274, 0, 0.00060805, 0, 0
275, 0, 0.0006092, 0, 0
276, 0, 0.00059815, 0, 0
277, 0, 0.0005961, 0, 0
278, 0, 0.0005977, 0, 0
279, 0, 0.00058755, 0, 0
280, 0, 0.0005927, 0, 0
281, 0, 0.0005743, 0, 0
282, 0, 0.00058065, 0, 0
283, 0, 0.00058515, 0, 0
284, 0, 0.00057255, 0, 0
285, 0, 0.00056865, 0, 0
286, 0, 0.00056815, 0, 0
287, 0, 0.0005776, 0, 0
288, 0, 0.000577, 0, 0
289, 0, 0.0005747, 0, 0
290, 0, 0.00057055, 0, 0
291, 0, 0.0005663, 0, 0
292, 0, 0.00055085, 0, 0
293, 0, 0.00055365, 0, 0
294, 0, 0.00055975, 0, 0
295, 0, 0.00056445, 0, 0
296, 0, 0.00054615, 0, 0
297, 0, 0.00054965, 0, 0
298, 0, 0.00056935, 0, 0
299, 0, 0.00054875, 0, 0
300, 0, 0.000543, 0, 0
301, 0, 0.00053965, 0, 0
302, 0, 0.0005371, 0, 0
303, 0, 0.00053845, 0, 0
304, 0, 0.00054455, 0, 0
305, 0, 0.0005308, 0, 0
306, 0, 0.0005429, 0, 0
307, 0, 0.00054195, 0, 0
308, 0, 0.0005257, 0, 0
309, 0, 0.00051865, 0, 0
310, 0, 0.00052745, 0, 0
311, 0, 0.000521, 0, 0
312, 0, 0.0005227, 0, 0
313, 0, 0.00051515, 0, 0
314, 0, 0.00051345, 0, 0
315, 0, 0.00051465, 0, 0
316, 0, 0.00051225, 0, 0
317, 0, 0.00052065, 0, 0
318, 0, 0.00050235, 0, 0
319, 0, 0.0005225, 0, 0
320, 0, 0.00051035, 0, 0
321, 0, 0.0005046, 0, 0
322, 0, 0.00050175, 0, 0
323, 0, 0.0005118, 0, 0
324, 0, 0.00050185, 0, 0
325, 0, 0.000502, 0, 0
326, 0, 0.00049155, 0, 0
327, 0, 0.00050065, 0, 0
328, 0, 0.00049115, 0, 0
329, 0, 0.00049785, 0, 0
330, 0, 0.0004874, 0, 0
331, 0, 0.00049475, 0, 0
332, 0, 0.00048295, 0, 0
333, 0, 0.0004827, 0, 0
334, 0, 0.0004773, 0, 0
335, 0, 0.0004798, 0, 0
336, 0, 0.00047645, 0, 0
337, 0, 0.0004821, 0, 0
338, 0, 0.0004732, 0, 0
339, 0, 0.00047545, 0, 0
340, 0, 0.0004684, 0, 0
341, 0, 0.0004656, 0, 0
342, 0, 0.00047075, 0, 0
343, 0, 0.0004616, 0, 0
344, 0, 0.00046905, 0, 0
345, 0, 0.0004584, 0, 0
346, 0, 0.0004632, 0, 0
347, 0, 0.00045835, 0, 0
348, 0, 0.00046045, 0, 0
349, 0, 0.00046195, 0, 0
350, 0, 0.0004525, 0, 0
351, 0, 0.00045145, 0, 0
352, 0, 0.0004516, 0, 0
353, 0, 0.0004461, 0, 0
354, 0, 0.0004458, 0, 0
355, 0, 0.0004511, 0, 0
356, 0, 0.00043615, 0, 0
357, 0, 0.00044205, 0, 0
358, 0, 0.00045235, 0, 0
359, 0, 0.0004339, 0, 0
360, 0, 0.0004414, 0, 0
361, 0, 0.0004477, 0, 0
362, 0, 0.0004301, 0, 0
363, 0, 0.00043545, 0, 0
364, 0, 0.0004401, 0, 0
365, 0, 0.0004325, 0, 0
