Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8929899, 7501272, 481981, 11380151
1, 2835860, 246988, 1559226, 1468737
2, 1817283, 227847, 2570405, 1663515
3, 1383887, 209111, 4302038, 1585119
4, 1080565, 194265, 11086350, 1221878
5, 855332, 182521, 0, 794765
6, 680280, 170296, 0, 465021
7, 536007, 161755, 0, 260484
8, 424887, 151826, 0, 153496
9, 334823, 143830, 0, 99993
10, 260922, 137370, 0, 71551
11, 204585, 130395, 0, 56641
12, 157559, 125108, 0, 46543
13, 121627, 119387, 0, 39881
14, 95696, 115456, 0, 34796
15, 72697, 109779, 0, 30783
16, 54622, 106901, 0, 27009
17, 40255, 103030, 0, 24400
18, 29066, 99780, 0, 22171
19, 22557, 96441, 0, 20213
20, 16372, 93263, 0, 18262
21, 12360, 90670, 0, 16860
22, 9413, 87796, 0, 15666
23, 6763, 86143, 0, 14531
24, 4945, 83147, 0, 13416
25, 3460, 81395, 0, 12388
26, 2101, 79308, 0, 11831
27, 1573, 77668, 0, 11128
28, 1169, 75739, 0, 10661
29, 927, 74316, 0, 9748
30, 741, 72595, 0, 9415
31, 547, 71095, 0, 8730
32, 333, 69645, 0, 8148
33, 288, 67987, 0, 7963
34, 197, 66984, 0, 7566
35, 217, 65788, 0, 7100
36, 103, 64851, 0, 6945
37, 44, 63464, 0, 6595
38, 38, 62275, 0, 6237
39, 0, 61179, 0, 6053
40, 0, 60642, 0, 5870
41, 0, 59562, 0, 5737
42, 0, 58262, 0, 5304
43, 0, 57317, 0, 5166
44, 0, 56495, 0, 4918
45, 0, 55532, 0, 4670
46, 0, 54721, 0, 4623
47, 0, 54390, 0, 4398
48, 0, 53212, 0, 4379
49, 0, 52317, 0, 4174
50, 0, 51878, 0, 4107
51, 0, 51166, 0, 3970
52, 0, 50632, 0, 3867
53, 0, 49882, 0, 3735
54, 0, 48930, 0, 3595
55, 0, 48106, 0, 3410
56, 0, 47509, 0, 3419
57, 0, 46983, 0, 3322
58, 0, 46533, 0, 3165
59, 0, 46143, 0, 3118
60, 0, 45356, 0, 3000
61, 0, 44964, 0, 2950
62, 0, 44566, 0, 2847
63, 0, 43770, 0, 2747
64, 0, 43061, 0, 165900
65, 0, 42732, 0, 829
66, 0, 42527, 0, 779
67, 0, 42190, 0, 748
68, 0, 41741, 0, 757
69, 0, 40502, 0, 742
70, 0, 40390, 0, 665
71, 0, 40302, 0, 712
72, 0, 40159, 0, 702
73, 0, 39684, 0, 688
74, 0, 38837, 0, 620
75, 0, 38865, 0, 610
76, 0, 37801, 0, 604
77, 0, 37985, 0, 566
78, 0, 37304, 0, 562
79, 0, 36918, 0, 583
80, 0, 36623, 0, 547
81, 0, 36220, 0, 555
82, 0, 36055, 0, 553
83, 0, 35122, 0, 547
84, 0, 35542, 0, 556
85, 0, 34389, 0, 587
86, 0, 34242, 0, 544
87, 0, 34236, 0, 516
88, 0, 33787, 0, 517
89, 0, 33187, 0, 477
90, 0, 34035, 0, 477
91, 0, 33090, 0, 464
92, 0, 32674, 0, 472
93, 0, 32306, 0, 452
94, 0, 32193, 0, 431
95, 0, 32119, 0, 446
96, 0, 31785, 0, 434
97, 0, 31427, 0, 413
98, 0, 30928, 0, 403
99, 0, 30985, 0, 397
100, 0, 30506, 0, 435
101, 0, 30836, 0, 414
102, 0, 30007, 0, 384
103, 0, 30191, 0, 365
104, 0, 29288, 0, 376
105, 0, 29367, 0, 392
106, 0, 29446, 0, 409
107, 0, 28940, 0, 371
108, 0, 28346, 0, 355
109, 0, 28811, 0, 365
110, 0, 27993, 0, 337
111, 0, 28070, 0, 345
112, 0, 28000, 0, 329
113, 0, 27873, 0, 339
114, 0, 27769, 0, 319
115, 0, 27322, 0, 320
116, 0, 27103, 0, 323
117, 0, 26892, 0, 348
118, 0, 27180, 0, 317
119, 0, 26489, 0, 304
120, 0, 26695, 0, 299
121, 0, 26093, 0, 294
122, 0, 25986, 0, 304
123, 0, 25806, 0, 285
124, 0, 25849, 0, 288
125, 0, 25735, 0, 310
126, 0, 25440, 0, 266
127, 0, 25224, 0, 248
128, 0, 25256, 0, 27877
129, 0, 24989, 0, 38
130, 0, 24676, 0, 35
131, 0, 24387, 0, 48
132, 0, 24221, 0, 36
133, 0, 24416, 0, 46
134, 0, 24401, 0, 27
135, 0, 24022, 0, 50
136, 0, 23761, 0, 52
137, 0, 23479, 0, 37
138, 0, 23624, 0, 41
139, 0, 23469, 0, 23
140, 0, 23097, 0, 36
141, 0, 23260, 0, 45
142, 0, 23014, 0, 46
143, 0, 22461, 0, 43
144, 0, 22647, 0, 40
145, 0, 22289, 0, 35
146, 0, 22034, 0, 31
147, 0, 22441, 0, 22
148, 0, 22056, 0, 37
149, 0, 21819, 0, 33
150, 0, 22050, 0, 43
151, 0, 21497, 0, 33
152, 0, 21402, 0, 31
