Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8933001, 7493137, 468446, 11386632
1, 2825630, 246349, 1554820, 1462916
2, 1815659, 226940, 2582952, 1661432
3, 1366628, 209146, 4299720, 1586785
4, 1066182, 194767, 11094062, 1220875
5, 854365, 182345, 0, 793021
6, 679441, 170314, 0, 464207
7, 541734, 159469, 0, 262444
8, 435054, 151116, 0, 153865
9, 342198, 144120, 0, 99535
10, 268964, 137084, 0, 72333
11, 209750, 130884, 0, 56620
12, 161151, 125490, 0, 47002
13, 122730, 120398, 0, 40031
14, 94404, 115083, 0, 34814
15, 71992, 110309, 0, 30583
16, 55045, 107416, 0, 27112
17, 41670, 103162, 0, 24584
18, 32202, 100219, 0, 22140
19, 24561, 97217, 0, 20084
20, 16254, 93331, 0, 18375
21, 11563, 90700, 0, 17017
22, 8956, 88648, 0, 15448
23, 5839, 85885, 0, 14427
24, 4320, 83200, 0, 13384
25, 3579, 82363, 0, 12657
26, 2312, 79581, 0, 11900
27, 1386, 78181, 0, 11017
28, 971, 75525, 0, 10421
29, 856, 74891, 0, 9969
30, 651, 72903, 0, 9255
31, 359, 71094, 0, 8797
32, 234, 69561, 0, 8458
33, 101, 68905, 0, 7851
34, 69, 67140, 0, 7467
35, 66, 65836, 0, 7189
36, 31, 64646, 0, 6942
37, 39, 63790, 0, 6626
38, 35, 61780, 0, 6265
39, 18, 61195, 0, 6030
40, 0, 60080, 0, 5832
41, 0, 59377, 0, 5483
42, 0, 58581, 0, 5441
43, 0, 57088, 0, 5114
44, 0, 56265, 0, 4825
45, 0, 55009, 0, 4798
46, 0, 54337, 0, 4631
47, 0, 53970, 0, 4528
48, 0, 52809, 0, 4405
49, 0, 52367, 0, 4142
50, 0, 51714, 0, 4088
51, 0, 50490, 0, 3923
52, 0, 50318, 0, 3890
53, 0, 49623, 0, 3634
54, 0, 48818, 0, 3564
55, 0, 48250, 0, 3464
56, 0, 47701, 0, 3381
57, 0, 46583, 0, 3388
58, 0, 46690, 0, 3120
59, 0, 45614, 0, 3046
60, 0, 45080, 0, 3069
61, 0, 44497, 0, 2858
62, 0, 43924, 0, 2848
63, 0, 43156, 0, 2785
64, 0, 42806, 0, 166325
65, 0, 42789, 0, 761
66, 0, 41964, 0, 777
67, 0, 41882, 0, 751
68, 0, 40616, 0, 714
69, 0, 40779, 0, 698
70, 0, 40269, 0, 671
71, 0, 39801, 0, 709
72, 0, 39714, 0, 703
73, 0, 39444, 0, 614
74, 0, 38617, 0, 630
75, 0, 38404, 0, 655
76, 0, 38112, 0, 577
77, 0, 37590, 0, 592
78, 0, 37087, 0, 620
79, 0, 36814, 0, 553
80, 0, 36529, 0, 598
81, 0, 36098, 0, 546
82, 0, 35563, 0, 550
83, 0, 35856, 0, 516
84, 0, 35249, 0, 558
85, 0, 34930, 0, 495
86, 0, 34818, 0, 522
87, 0, 34170, 0, 468
88, 0, 33252, 0, 471
89, 0, 33763, 0, 474
90, 0, 33228, 0, 515
91, 0, 32756, 0, 439
92, 0, 32956, 0, 455
93, 0, 32787, 0, 436
94, 0, 31693, 0, 476
95, 0, 31968, 0, 422
96, 0, 31636, 0, 427
97, 0, 31605, 0, 416
98, 0, 31245, 0, 415
99, 0, 30982, 0, 418
100, 0, 30835, 0, 392
101, 0, 30291, 0, 395
102, 0, 30473, 0, 381
