Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8930824, 7494397, 479160, 11386592
1, 2834391, 246830, 1564072, 1463092
2, 1821339, 225917, 2567803, 1664282
3, 1373056, 210045, 4294643, 1587122
4, 1076014, 194026, 11094322, 1218548
5, 843431, 181523, 0, 793938
6, 677174, 169971, 0, 463041
7, 538989, 160544, 0, 261323
8, 428434, 150958, 0, 152682
9, 337378, 143393, 0, 99318
10, 262045, 136393, 0, 72327
11, 205219, 131046, 0, 56250
12, 159125, 124825, 0, 47503
13, 125991, 120268, 0, 39909
14, 96528, 115116, 0, 34760
15, 74839, 110336, 0, 30998
16, 57968, 106227, 0, 27239
17, 42800, 102696, 0, 24444
18, 30817, 99457, 0, 22231
19, 22678, 96778, 0, 19792
20, 17191, 94302, 0, 18494
21, 12527, 90479, 0, 16879
22, 8966, 88136, 0, 15778
23, 7137, 86279, 0, 14537
24, 4432, 83721, 0, 13502
25, 3203, 81886, 0, 12524
26, 2369, 80292, 0, 11632
27, 1692, 77648, 0, 11266
28, 952, 75991, 0, 10523
29, 703, 74181, 0, 9760
30, 488, 72891, 0, 9244
31, 456, 71553, 0, 8828
32, 236, 70045, 0, 8294
33, 189, 68524, 0, 7958
34, 196, 66949, 0, 7728
35, 116, 65887, 0, 7318
36, 63, 65039, 0, 6877
37, 23, 63338, 0, 6629
38, 21, 62623, 0, 6254
39, 0, 60839, 0, 6066
40, 0, 60121, 0, 5834
41, 0, 58778, 0, 5617
42, 0, 58434, 0, 5275
43, 0, 56664, 0, 5201
44, 0, 56655, 0, 5017
45, 0, 55587, 0, 4837
46, 0, 54931, 0, 4733
47, 0, 53919, 0, 4338
48, 0, 54039, 0, 4410
49, 0, 52140, 0, 4108
50, 0, 51799, 0, 4051
51, 0, 51254, 0, 3980
52, 0, 50481, 0, 3721
53, 0, 49869, 0, 3702
54, 0, 49336, 0, 3637
55, 0, 48987, 0, 3527
56, 0, 48377, 0, 3450
57, 0, 47991, 0, 3283
58, 0, 46864, 0, 3267
59, 0, 46094, 0, 3178
60, 0, 45626, 0, 3012
61, 0, 44879, 0, 3001
62, 0, 44989, 0, 2912
63, 0, 44542, 0, 2808
64, 0, 43533, 0, 167394
65, 0, 42638, 0, 738
66, 0, 42793, 0, 763
67, 0, 41607, 0, 783
68, 0, 41401, 0, 711
69, 0, 41461, 0, 699
70, 0, 40821, 0, 712
71, 0, 39991, 0, 706
72, 0, 39973, 0, 671
73, 0, 39484, 0, 652
74, 0, 38848, 0, 616
75, 0, 38976, 0, 651
76, 0, 38203, 0, 623
77, 0, 37703, 0, 606
78, 0, 37462, 0, 575
79, 0, 37265, 0, 568
80, 0, 36403, 0, 577
81, 0, 36388, 0, 543
82, 0, 35767, 0, 547
83, 0, 36016, 0, 534
84, 0, 35836, 0, 556
85, 0, 35204, 0, 516
86, 0, 35223, 0, 513
87, 0, 34303, 0, 478
88, 0, 34459, 0, 489
89, 0, 33948, 0, 471
90, 0, 33576, 0, 488
91, 0, 33293, 0, 455
92, 0, 33335, 0, 453
93, 0, 32884, 0, 442
94, 0, 32437, 0, 420
95, 0, 32079, 0, 418
96, 0, 32144, 0, 462
97, 0, 31198, 0, 437
98, 0, 31384, 0, 415
99, 0, 31046, 0, 419
100, 0, 30758, 0, 424
101, 0, 30538, 0, 384
102, 0, 30115, 0, 379
103, 0, 29942, 0, 389
104, 0, 29793, 0, 373
105, 0, 29516, 0, 349
106, 0, 29387, 0, 364
107, 0, 28862, 0, 356
108, 0, 28708, 0, 353
109, 0, 28839, 0, 359
110, 0, 28518, 0, 323
111, 0, 28176, 0, 335
112, 0, 27849, 0, 314
113, 0, 27636, 0, 324
114, 0, 27630, 0, 323
115, 0, 27391, 0, 301
116, 0, 27292, 0, 344
117, 0, 27037, 0, 317
118, 0, 26750, 0, 304
119, 0, 26529, 0, 282
120, 0, 26583, 0, 300
121, 0, 26375, 0, 323
122, 0, 25975, 0, 283
123, 0, 25614, 0, 281
124, 0, 25699, 0, 295
125, 0, 25393, 0, 271
126, 0, 25204, 0, 268
127, 0, 25067, 0, 276
128, 0, 25130, 0, 27335
129, 0, 24973, 0, 56
130, 0, 24777, 0, 45
131, 0, 24047, 0, 32
132, 0, 24566, 0, 53
133, 0, 23991, 0, 51
134, 0, 24014, 0, 36
135, 0, 23762, 0, 33
136, 0, 23567, 0, 41
137, 0, 23491, 0, 48
138, 0, 23620, 0, 37
139, 0, 23035, 0, 48
140, 0, 23398, 0, 29
141, 0, 23004, 0, 23
142, 0, 22757, 0, 44
143, 0, 22675, 0, 38
144, 0, 22636, 0, 42
145, 0, 22230, 0, 30
146, 0, 22486, 0, 27
147, 0, 22161, 0, 35
148, 0, 21685, 0, 33
149, 0, 21788, 0, 27
150, 0, 21676, 0, 29
151, 0, 21946, 0, 27
152, 0, 21595, 0, 34
153, 0, 21243, 0, 42
154, 0, 21113, 0, 27
155, 0, 20789, 0, 25
156, 0, 20865, 0, 33
157, 0, 20628, 0, 26
158, 0, 20775, 0, 37
159, 0, 20723, 0, 29
160, 0, 20795, 0, 33
161, 0, 20353, 0, 28
162, 0, 20260, 0, 27
163, 0, 20130, 0, 22
164, 0, 19879, 0, 25
165, 0, 20011, 0, 26
166, 0, 19932, 0, 38
167, 0, 19809, 0, 26
168, 0, 19918, 0, 27
169, 0, 19538, 0, 24
170, 0, 19691, 0, 21
171, 0, 19145, 0, 27
172, 0, 19317, 0, 25
173, 0, 19264, 0, 24
174, 0, 18996, 0, 36
175, 0, 18864, 0, 26
176, 0, 18587, 0, 22
177, 0, 18549, 0, 16
178, 0, 18803, 0, 25
179, 0, 18653, 0, 29
180, 0, 18216, 0, 24
181, 0, 18185, 0, 27
182, 0, 18090, 0, 21
183, 0, 18120, 0, 17
184, 0, 18056, 0, 21
185, 0, 18075, 0, 23
186, 0, 17775, 0, 22
187, 0, 17898, 0, 21
188, 0, 17872, 0, 23
189, 0, 17622, 0, 24
190, 0, 17365, 0, 24
191, 0, 17267, 0, 29
192, 0, 17497, 0, 1991
193, 0, 17287, 0, 0
194, 0, 17282, 0, 1
195, 0, 17111, 0, 1
196, 0, 16765, 0, 4
197, 0, 16961, 0, 0
198, 0, 16770, 0, 1
199, 0, 16903, 0, 0
200, 0, 16537, 0, 3
201, 0, 16484, 0, 1
202, 0, 16436, 0, 0
203, 0, 16252, 0, 1
204, 0, 16487, 0, 2
205, 0, 16397, 0, 0
206, 0, 16207, 0, 1
207, 0, 16183, 0, 0
208, 0, 15967, 0, 2
209, 0, 15764, 0, 4
210, 0, 15754, 0, 0
211, 0, 15570, 0, 2
212, 0, 15915, 0, 0
213, 0, 15975, 0, 1
214, 0, 15563, 0, 1
215, 0, 15263, 0, 1
216, 0, 15296, 0, 0
217, 0, 15407, 0, 1
218, 0, 15029, 0, 0
219, 0, 15247, 0, 0
220, 0, 15138, 0, 1
221, 0, 14756, 0, 0
222, 0, 15243, 0, 1
223, 0, 15151, 0, 1
224, 0, 14804, 0, 0
225, 0, 14908, 0, 1
