Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.44665, 0.374657, 0.0234223, 0.569332
1, 0.141282, 0.0123175, 0.077741, 0.0731458
2, 0.090783, 0.011347, 0.129148, 0.0830716
3, 0.0683314, 0.0104573, 0.214986, 0.0793393
4, 0.0533091, 0.00973835, 0.554703, 0.0610438
5, 0.0427182, 0.00911725, 0, 0.0396511
6, 0.033972, 0.0085157, 0, 0.0232104
7, 0.0270867, 0.00797345, 0, 0.0131222
8, 0.0217527, 0.0075558, 0, 0.00769325
9, 0.0171099, 0.007206, 0, 0.00497675
10, 0.0134482, 0.0068542, 0, 0.00361665
11, 0.0104875, 0.0065442, 0, 0.002831
12, 0.00805755, 0.0062745, 0, 0.0023501
13, 0.0061365, 0.0060199, 0, 0.00200155
14, 0.0047202, 0.00575415, 0, 0.0017407
15, 0.0035996, 0.00551545, 0, 0.00152915
16, 0.00275225, 0.0053708, 0, 0.0013556
17, 0.0020835, 0.0051581, 0, 0.0012292
18, 0.0016101, 0.00501095, 0, 0.001107
19, 0.00122805, 0.00486085, 0, 0.0010042
20, 0.0008127, 0.00466655, 0, 0.00091875
21, 0.00057815, 0.004535, 0, 0.00085085
22, 0.0004478, 0.0044324, 0, 0.0007724
23, 0.00029195, 0.00429425, 0, 0.00072135
24, 0.000216, 0.00416, 0, 0.0006692
25, 0.00017895, 0.00411815, 0, 0.00063285
26, 0.0001156, 0.00397905, 0, 0.000595
27, 6.93e-05, 0.00390905, 0, 0.00055085
28, 4.855e-05, 0.00377625, 0, 0.00052105
29, 4.28e-05, 0.00374455, 0, 0.00049845
30, 3.255e-05, 0.00364515, 0, 0.00046275
31, 1.795e-05, 0.0035547, 0, 0.00043985
32, 1.17e-05, 0.00347805, 0, 0.0004229
33, 5.05e-06, 0.00344525, 0, 0.00039255
34, 3.45e-06, 0.003357, 0, 0.00037335
35, 3.3e-06, 0.0032918, 0, 0.00035945
36, 1.55e-06, 0.0032323, 0, 0.0003471
37, 1.95e-06, 0.0031895, 0, 0.0003313
38, 1.75e-06, 0.003089, 0, 0.00031325
39, 9e-07, 0.00305975, 0, 0.0003015
40, 0, 0.003004, 0, 0.0002916
41, 0, 0.00296885, 0, 0.00027415
42, 0, 0.00292905, 0, 0.00027205
43, 0, 0.0028544, 0, 0.0002557
44, 0, 0.00281325, 0, 0.00024125
45, 0, 0.00275045, 0, 0.0002399
46, 0, 0.00271685, 0, 0.00023155
47, 0, 0.0026985, 0, 0.0002264
48, 0, 0.00264045, 0, 0.00022025
49, 0, 0.00261835, 0, 0.0002071
50, 0, 0.0025857, 0, 0.0002044
51, 0, 0.0025245, 0, 0.00019615
52, 0, 0.0025159, 0, 0.0001945
53, 0, 0.00248115, 0, 0.0001817
54, 0, 0.0024409, 0, 0.0001782
55, 0, 0.0024125, 0, 0.0001732
56, 0, 0.00238505, 0, 0.00016905
57, 0, 0.00232915, 0, 0.0001694
58, 0, 0.0023345, 0, 0.000156
59, 0, 0.0022807, 0, 0.0001523
60, 0, 0.002254, 0, 0.00015345
61, 0, 0.00222485, 0, 0.0001429
62, 0, 0.0021962, 0, 0.0001424
63, 0, 0.0021578, 0, 0.00013925
64, 0, 0.0021403, 0, 0.00831625
65, 0, 0.00213945, 0, 3.805e-05
66, 0, 0.0020982, 0, 3.885e-05
67, 0, 0.0020941, 0, 3.755e-05
68, 0, 0.0020308, 0, 3.57e-05
69, 0, 0.00203895, 0, 3.49e-05
70, 0, 0.00201345, 0, 3.355e-05
71, 0, 0.00199005, 0, 3.545e-05
72, 0, 0.0019857, 0, 3.515e-05
73, 0, 0.0019722, 0, 3.07e-05
74, 0, 0.00193085, 0, 3.15e-05
75, 0, 0.0019202, 0, 3.275e-05
76, 0, 0.0019056, 0, 2.885e-05
77, 0, 0.0018795, 0, 2.96e-05
78, 0, 0.00185435, 0, 3.1e-05
79, 0, 0.0018407, 0, 2.765e-05
80, 0, 0.00182645, 0, 2.99e-05
81, 0, 0.0018049, 0, 2.73e-05
82, 0, 0.00177815, 0, 2.75e-05
83, 0, 0.0017928, 0, 2.58e-05
84, 0, 0.00176245, 0, 2.79e-05
85, 0, 0.0017465, 0, 2.475e-05
86, 0, 0.0017409, 0, 2.61e-05
87, 0, 0.0017085, 0, 2.34e-05
88, 0, 0.0016626, 0, 2.355e-05
89, 0, 0.00168815, 0, 2.37e-05
90, 0, 0.0016614, 0, 2.575e-05
91, 0, 0.0016378, 0, 2.195e-05
92, 0, 0.0016478, 0, 2.275e-05
93, 0, 0.00163935, 0, 2.18e-05
94, 0, 0.00158465, 0, 2.38e-05
95, 0, 0.0015984, 0, 2.11e-05
96, 0, 0.0015818, 0, 2.135e-05
97, 0, 0.00158025, 0, 2.08e-05
98, 0, 0.00156225, 0, 2.075e-05
99, 0, 0.0015491, 0, 2.09e-05
100, 0, 0.00154175, 0, 1.96e-05
101, 0, 0.00151455, 0, 1.975e-05
102, 0, 0.00152365, 0, 1.905e-05
103, 0, 0.00147665, 0, 1.875e-05
104, 0, 0.0014844, 0, 2.075e-05
105, 0, 0.00148045, 0, 1.76e-05
106, 0, 0.0014598, 0, 1.645e-05
107, 0, 0.00144145, 0, 1.765e-05
108, 0, 0.00143985, 0, 1.835e-05
109, 0, 0.0014256, 0, 1.715e-05
110, 0, 0.00141855, 0, 1.685e-05
111, 0, 0.00138795, 0, 1.69e-05
112, 0, 0.0013979, 0, 1.725e-05
113, 0, 0.00137565, 0, 1.675e-05
114, 0, 0.0013667, 0, 1.685e-05
115, 0, 0.00136075, 0, 1.5e-05
116, 0, 0.0013574, 0, 1.635e-05
117, 0, 0.00134935, 0, 1.545e-05
118, 0, 0.0013305, 0, 1.56e-05
119, 0, 0.00131835, 0, 1.43e-05
120, 0, 0.00131575, 0, 1.465e-05
121, 0, 0.00131185, 0, 1.565e-05
122, 0, 0.00128855, 0, 1.425e-05
123, 0, 0.00129215, 0, 1.405e-05
124, 0, 0.00128365, 0, 1.495e-05
125, 0, 0.0012743, 0, 1.49e-05
