Message Count, Occurrence in Buffer from Source, Occurrence in Buffer from Source1, Occurrence in Service from Source, Occurrence in Service from Source1
0, 8957413, 7525572, 473590, 11361212
1, 2820779, 244564, 1567894, 1467647
2, 1818690, 225878, 2586933, 1669781
3, 1374133, 209136, 4304326, 1595245
4, 1078048, 193996, 11067257, 1224607
5, 858540, 180574, 0, 796948
6, 678317, 170267, 0, 464387
7, 537452, 160027, 0, 261130
8, 426446, 151267, 0, 153435
9, 333675, 143754, 0, 99784
10, 255744, 136767, 0, 72028
11, 201073, 130467, 0, 56925
12, 155916, 124104, 0, 46849
13, 121602, 119367, 0, 39976
14, 91356, 114211, 0, 34413
15, 70795, 110082, 0, 30578
16, 55894, 105827, 0, 27178
17, 42473, 102711, 0, 24295
18, 33135, 99504, 0, 22041
19, 25058, 96290, 0, 19843
20, 17799, 93321, 0, 18477
21, 12261, 90348, 0, 16808
22, 8864, 87756, 0, 15654
23, 7564, 84981, 0, 14440
24, 5252, 83384, 0, 13504
25, 3560, 80948, 0, 12463
26, 2371, 79155, 0, 11557
27, 2085, 77481, 0, 10834
28, 1265, 75878, 0, 10244
29, 896, 73976, 0, 9725
30, 739, 72730, 0, 9350
31, 390, 70367, 0, 8738
32, 116, 69124, 0, 8431
33, 45, 67794, 0, 7948
34, 78, 66158, 0, 7442
35, 47, 65090, 0, 7098
36, 13, 64283, 0, 6811
37, 36, 63761, 0, 6554
38, 39, 61944, 0, 6381
39, 26, 60873, 0, 5869
40, 8, 59974, 0, 5806
41, 7, 58769, 0, 5656
42, 0, 57729, 0, 5246
43, 0, 57131, 0, 5235
44, 0, 56721, 0, 4914
45, 0, 55234, 0, 4782
46, 0, 54882, 0, 4544
47, 0, 53726, 0, 4525
48, 0, 52944, 0, 4325
49, 0, 52038, 0, 4126
50, 0, 52197, 0, 4030
51, 0, 50364, 0, 3984
52, 0, 50582, 0, 3833
53, 0, 49079, 0, 3642
54, 0, 48406, 0, 3598
55, 0, 48224, 0, 3515
56, 0, 47614, 0, 3397
57, 0, 46986, 0, 3240
58, 0, 46425, 0, 3102
59, 0, 45739, 0, 3085
60, 0, 45471, 0, 2962
61, 0, 44588, 0, 2977
62, 0, 44491, 0, 2892
63, 0, 43587, 0, 2863
64, 0, 43123, 0, 166190
65, 0, 42903, 0, 749
66, 0, 42371, 0, 733
67, 0, 41478, 0, 739
68, 0, 41516, 0, 740
69, 0, 40983, 0, 747
70, 0, 40796, 0, 692
71, 0, 39824, 0, 723
72, 0, 39415, 0, 659
73, 0, 39061, 0, 658
74, 0, 38360, 0, 610
75, 0, 38288, 0, 615
76, 0, 37893, 0, 597
77, 0, 37343, 0, 564
78, 0, 37450, 0, 601
79, 0, 37264, 0, 638
80, 0, 36711, 0, 581
81, 0, 36123, 0, 598
82, 0, 35878, 0, 569
83, 0, 35662, 0, 540
84, 0, 34738, 0, 530
85, 0, 34612, 0, 521
86, 0, 34896, 0, 513
87, 0, 34181, 0, 492
88, 0, 34079, 0, 482
89, 0, 33690, 0, 480
90, 0, 33573, 0, 457
91, 0, 33542, 0, 461
92, 0, 33191, 0, 433
93, 0, 32064, 0, 436
94, 0, 32470, 0, 466
95, 0, 31865, 0, 471
96, 0, 31691, 0, 432
97, 0, 31866, 0, 460
98, 0, 31533, 0, 435
99, 0, 31050, 0, 423
100, 0, 31193, 0, 397
101, 0, 30368, 0, 430
102, 0, 30030, 0, 402
103, 0, 29655, 0, 387
104, 0, 29648, 0, 351
105, 0, 29153, 0, 366
106, 0, 29393, 0, 348
107, 0, 29360, 0, 359
108, 0, 28914, 0, 380
109, 0, 28904, 0, 364
110, 0, 28439, 0, 368
111, 0, 28218, 0, 343
112, 0, 28448, 0, 322
113, 0, 28015, 0, 320
114, 0, 27762, 0, 345
115, 0, 27664, 0, 333
116, 0, 27430, 0, 328
117, 0, 27060, 0, 341
118, 0, 26959, 0, 295
119, 0, 26525, 0, 307
120, 0, 26227, 0, 285
121, 0, 26354, 0, 266
122, 0, 25916, 0, 301
123, 0, 26033, 0, 272
124, 0, 25910, 0, 262
125, 0, 25718, 0, 283
126, 0, 25743, 0, 293
127, 0, 25208, 0, 243
128, 0, 25135, 0, 27833
129, 0, 24708, 0, 53
130, 0, 24939, 0, 51
131, 0, 24646, 0, 34
132, 0, 24155, 0, 46
133, 0, 24350, 0, 41
134, 0, 24060, 0, 51
135, 0, 23963, 0, 46
136, 0, 24000, 0, 31
137, 0, 23703, 0, 32
138, 0, 23315, 0, 39
139, 0, 23579, 0, 33
140, 0, 23091, 0, 48
141, 0, 23375, 0, 41
142, 0, 22974, 0, 40
143, 0, 22798, 0, 41
144, 0, 22776, 0, 34
145, 0, 22503, 0, 34
146, 0, 22581, 0, 32
147, 0, 21810, 0, 43
