Adjusted Message Count, Adjusted Occurrence in Buffer from Source, Adjusted Occurrence in Buffer from Source1, Adjusted Occurrence in Service from Source, Adjusted Occurrence in Service from Source1
0, 0.444527, 0.373221, 0.0235724, 0.570658
1, 0.141266, 0.0123518, 0.0773483, 0.0728902
2, 0.0908752, 0.0113057, 0.128291, 0.0827256
3, 0.0691943, 0.0104846, 0.214612, 0.0790325
4, 0.0540658, 0.00974695, 0.556176, 0.0608458
5, 0.0429826, 0.0091154, 0, 0.0396034
6, 0.034058, 0.0085251, 0, 0.0231938
7, 0.0271293, 0.0080434, 0, 0.0130312
8, 0.0216464, 0.00756805, 0, 0.0076402
9, 0.0171068, 0.00721015, 0, 0.00499755
10, 0.0133338, 0.00682145, 0, 0.003599
11, 0.0105081, 0.00651465, 0, 0.0028401
12, 0.0079964, 0.0062434, 0, 0.00234635
13, 0.0062754, 0.00601105, 0, 0.00200335
14, 0.0047738, 0.0057702, 0, 0.0017452
15, 0.0036089, 0.00553695, 0, 0.00153105
16, 0.00267095, 0.0053543, 0, 0.00134335
17, 0.0021173, 0.0051394, 0, 0.0012099
18, 0.00159725, 0.0050053, 0, 0.00110365
19, 0.0011835, 0.00483795, 0, 0.00100625
20, 0.0008941, 0.00468195, 0, 0.00091965
21, 0.00062025, 0.004561, 0, 0.0008336
22, 0.00045305, 0.0044513, 0, 0.0007771
23, 0.0003412, 0.00432475, 0, 0.0007217
24, 0.00024635, 0.0042009, 0, 0.0006727
25, 0.000154, 0.00409425, 0, 0.0006223
26, 0.00011475, 0.0039877, 0, 0.0005931
27, 7.695e-05, 0.0038858, 0, 0.0005518
28, 5.255e-05, 0.00378205, 0, 0.0005244
29, 4.14e-05, 0.00372255, 0, 0.00049
30, 2.65e-05, 0.00364475, 0, 0.0004564
31, 2.325e-05, 0.003587, 0, 0.00043935
32, 1.135e-05, 0.0035011, 0, 0.00042315
33, 6.3e-06, 0.0034081, 0, 0.00039445
34, 6.75e-06, 0.0033839, 0, 0.00038175
35, 6e-06, 0.0032999, 0, 0.00035665
36, 6.5e-06, 0.0032459, 0, 0.00034955
37, 9e-07, 0.00318175, 0, 0.0003247
38, 6e-07, 0.00310125, 0, 0.0003138
39, 2.5e-07, 0.0030757, 0, 0.0003024
40, 0, 0.0030107, 0, 0.0002853
41, 0, 0.00295565, 0, 0.00027975
42, 0, 0.00293485, 0, 0.00026875
43, 0, 0.0028738, 0, 0.0002602
44, 0, 0.0028525, 0, 0.00024955
45, 0, 0.00278505, 0, 0.00023055
46, 0, 0.00277085, 0, 0.00023095
47, 0, 0.00271675, 0, 0.00022605
48, 0, 0.0026647, 0, 0.00021485
49, 0, 0.00263205, 0, 0.000209
50, 0, 0.0025916, 0, 0.00019995
51, 0, 0.00254135, 0, 0.00019705
52, 0, 0.0024941, 0, 0.0001893
53, 0, 0.0024754, 0, 0.00018165
54, 0, 0.0024293, 0, 0.00017705
55, 0, 0.00242955, 0, 0.0001716
56, 0, 0.00238225, 0, 0.00016455
57, 0, 0.0023395, 0, 0.0001649
58, 0, 0.0023357, 0, 0.000156
59, 0, 0.0022994, 0, 0.00015145
60, 0, 0.0022753, 0, 0.00014895
61, 0, 0.0022362, 0, 0.0001508
62, 0, 0.0022235, 0, 0.0001448
63, 0, 0.00219375, 0, 0.00013665
64, 0, 0.00218715, 0, 0.00829915
65, 0, 0.0021445, 0, 4.14e-05
66, 0, 0.00212035, 0, 3.71e-05
67, 0, 0.00207665, 0, 3.575e-05
68, 0, 0.0020607, 0, 3.88e-05
69, 0, 0.00204335, 0, 3.67e-05
70, 0, 0.00202885, 0, 3.275e-05
71, 0, 0.00200505, 0, 3.505e-05
72, 0, 0.00200425, 0, 3.295e-05
73, 0, 0.0019806, 0, 3.365e-05
74, 0, 0.0019435, 0, 3.255e-05
75, 0, 0.0019205, 0, 3.06e-05
76, 0, 0.0019188, 0, 3.05e-05
77, 0, 0.0018951, 0, 3.145e-05
78, 0, 0.00188385, 0, 3.085e-05
79, 0, 0.00186265, 0, 2.85e-05
80, 0, 0.00184595, 0, 2.88e-05
81, 0, 0.0018169, 0, 2.795e-05
82, 0, 0.0018059, 0, 2.67e-05
83, 0, 0.001781, 0, 2.805e-05
84, 0, 0.00174935, 0, 2.705e-05
85, 0, 0.0017636, 0, 2.65e-05
86, 0, 0.0017175, 0, 2.475e-05
87, 0, 0.00171785, 0, 2.735e-05
88, 0, 0.00170325, 0, 2.49e-05
89, 0, 0.0016883, 0, 2.3e-05
90, 0, 0.00168065, 0, 2.46e-05
91, 0, 0.00165785, 0, 2.555e-05
92, 0, 0.0016404, 0, 2.395e-05
93, 0, 0.001605, 0, 2.09e-05
94, 0, 0.00160365, 0, 2.065e-05
95, 0, 0.00160705, 0, 2.38e-05
96, 0, 0.0015791, 0, 2.065e-05
97, 0, 0.0015554, 0, 2.125e-05
98, 0, 0.00155695, 0, 2.145e-05
99, 0, 0.00154705, 0, 2.085e-05
100, 0, 0.0015554, 0, 2.195e-05
101, 0, 0.0015178, 0, 1.91e-05
102, 0, 0.00151655, 0, 1.93e-05
103, 0, 0.0014867, 0, 1.965e-05
104, 0, 0.0014978, 0, 1.78e-05
105, 0, 0.0014685, 0, 1.74e-05
106, 0, 0.00145345, 0, 1.9e-05
107, 0, 0.0014439, 0, 1.755e-05
108, 0, 0.0014631, 0, 1.77e-05
109, 0, 0.0014357, 0, 1.785e-05
110, 0, 0.0014251, 0, 1.73e-05
111, 0, 0.00141655, 0, 1.805e-05
112, 0, 0.00139715, 0, 1.8e-05
113, 0, 0.001405, 0, 1.815e-05
114, 0, 0.00139165, 0, 1.725e-05
115, 0, 0.0013858, 0, 1.77e-05
116, 0, 0.0013754, 0, 1.595e-05
117, 0, 0.0013665, 0, 1.67e-05
118, 0, 0.0013426, 0, 1.6e-05
119, 0, 0.00133695, 0, 1.6e-05
120, 0, 0.0013164, 0, 1.32e-05
121, 0, 0.00131725, 0, 1.56e-05
122, 0, 0.001302, 0, 1.415e-05
123, 0, 0.0013017, 0, 1.71e-05
124, 0, 0.00128705, 0, 1.275e-05
125, 0, 0.00129085, 0, 1.515e-05
126, 0, 0.0012728, 0, 1.205e-05
127, 0, 0.0012614, 0, 1.45e-05
128, 0, 0.00125825, 0, 0.0014419
129, 0, 0.0012494, 0, 1.9e-06
130, 0, 0.00125755, 0, 2.05e-06
131, 0, 0.0012271, 0, 3e-06
132, 0, 0.0012345, 0, 2e-06
133, 0, 0.0012034, 0, 2.45e-06
134, 0, 0.001207, 0, 2.3e-06
135, 0, 0.00119945, 0, 1.8e-06
136, 0, 0.0011822, 0, 1.7e-06
137, 0, 0.0011785, 0, 2.6e-06
138, 0, 0.00115785, 0, 1.9e-06
139, 0, 0.0011905, 0, 1.8e-06
140, 0, 0.00115555, 0, 1.8e-06
141, 0, 0.00115685, 0, 2.1e-06
142, 0, 0.0011445, 0, 1.6e-06
143, 0, 0.00115305, 0, 1.95e-06
144, 0, 0.00112205, 0, 2.35e-06
145, 0, 0.0011064, 0, 1.45e-06
146, 0, 0.00110815, 0, 1.9e-06
147, 0, 0.0011346, 0, 1.85e-06
148, 0, 0.0011054, 0, 1.8e-06
149, 0, 0.00110975, 0, 1.25e-06
150, 0, 0.00109175, 0, 2.35e-06
151, 0, 0.0010909, 0, 1.7e-06
152, 0, 0.00109165, 0, 1.6e-06
153, 0, 0.00106955, 0, 1.55e-06
154, 0, 0.00106135, 0, 1.55e-06
155, 0, 0.00106925, 0, 1.8e-06
156, 0, 0.0010619, 0, 1.45e-06
157, 0, 0.00105665, 0, 1.9e-06
158, 0, 0.001052, 0, 1.75e-06
159, 0, 0.00105055, 0, 1.25e-06
160, 0, 0.00104345, 0, 1.5e-06
161, 0, 0.0010125, 0, 1.5e-06
162, 0, 0.0010273, 0, 1.45e-06
163, 0, 0.00101955, 0, 1.2e-06
164, 0, 0.00102475, 0, 1.4e-06
165, 0, 0.00102065, 0, 1.15e-06
166, 0, 0.0010083, 0, 1.35e-06
167, 0, 0.0009927, 0, 1.7e-06
168, 0, 0.0009814, 0, 1.3e-06
169, 0, 0.00098685, 0, 1.3e-06
170, 0, 0.00097165, 0, 1.35e-06
171, 0, 0.000979, 0, 1.6e-06
172, 0, 0.00096085, 0, 1.2e-06
173, 0, 0.00095295, 0, 1.4e-06
174, 0, 0.0009608, 0, 9e-07
175, 0, 0.0009667, 0, 1.55e-06
176, 0, 0.00093315, 0, 1.15e-06
177, 0, 0.00095715, 0, 1.25e-06
178, 0, 0.0009307, 0, 1.5e-06
179, 0, 0.00091815, 0, 1.85e-06
180, 0, 0.00091785, 0, 1.4e-06
181, 0, 0.00093095, 0, 8.5e-07
182, 0, 0.0009182, 0, 8e-07
183, 0, 0.0009147, 0, 1.35e-06
184, 0, 0.00091485, 0, 1.35e-06
185, 0, 0.0009174, 0, 1.05e-06
186, 0, 0.00090355, 0, 1.25e-06
187, 0, 0.00090145, 0, 8e-07
188, 0, 0.000884, 0, 1.65e-06
189, 0, 0.00089125, 0, 7e-07
190, 0, 0.00087845, 0, 1.05e-06
191, 0, 0.0008915, 0, 1.05e-06
192, 0, 0.0008758, 0, 0.0001007
193, 0, 0.0008641, 0, 0
194, 0, 0.0008646, 0, 0
195, 0, 0.00085675, 0, 5e-08
196, 0, 0.00085615, 0, 0
197, 0, 0.00083855, 0, 0
198, 0, 0.0008538, 0, 0
199, 0, 0.0008545, 0, 0
200, 0, 0.0008584, 0, 1e-07
201, 0, 0.00082825, 0, 5e-08
202, 0, 0.0008159, 0, 5e-08
203, 0, 0.00082465, 0, 1e-07
204, 0, 0.00081785, 0, 5e-08
205, 0, 0.0008242, 0, 0
206, 0, 0.0008077, 0, 5e-08
207, 0, 0.0008071, 0, 0
208, 0, 0.0008115, 0, 0
209, 0, 0.0007884, 0, 0
210, 0, 0.00079215, 0, 1.5e-07
211, 0, 0.00079915, 0, 0
212, 0, 0.0007763, 0, 1e-07
213, 0, 0.0007916, 0, 0
214, 0, 0.0007805, 0, 5e-08
215, 0, 0.0007701, 0, 5e-08
216, 0, 0.000767, 0, 1.5e-07
217, 0, 0.0007775, 0, 5e-08
218, 0, 0.00077165, 0, 0
219, 0, 0.0007669, 0, 0
220, 0, 0.0007647, 0, 5e-08
221, 0, 0.0007562, 0, 5e-08
222, 0, 0.00075255, 0, 5e-08
223, 0, 0.00075515, 0, 5e-08
224, 0, 0.00073095, 0, 1e-07
225, 0, 0.0007473, 0, 1e-07
226, 0, 0.00073805, 0, 5e-08
227, 0, 0.0007447, 0, 5e-08
228, 0, 0.0007394, 0, 5e-08
229, 0, 0.0007298, 0, 5e-08
230, 0, 0.00073435, 0, 5e-08
231, 0, 0.0007333, 0, 5e-08
232, 0, 0.0007428, 0, 0
233, 0, 0.0007033, 0, 5e-08
234, 0, 0.0007319, 0, 1e-07
235, 0, 0.0007153, 0, 5e-08
236, 0, 0.00071295, 0, 5e-08
237, 0, 0.00072095, 0, 0
238, 0, 0.00071385, 0, 5e-08
239, 0, 0.0007137, 0, 0
240, 0, 0.0007108, 0, 0
241, 0, 0.0007104, 0, 0
242, 0, 0.00069475, 0, 0
243, 0, 0.0006895, 0, 0
244, 0, 0.00070175, 0, 0
245, 0, 0.00068765, 0, 5e-08
246, 0, 0.00068595, 0, 0
247, 0, 0.00068045, 0, 0
248, 0, 0.0006798, 0, 5e-08
249, 0, 0.00068635, 0, 5e-08
250, 0, 0.00068145, 0, 0
251, 0, 0.00066475, 0, 0
252, 0, 0.0006669, 0, 1e-07
253, 0, 0.00067845, 0, 5e-08
254, 0, 0.00065525, 0, 5e-08
255, 0, 0.00064705, 0, 0
256, 0, 0.00065965, 0, 1.6e-06
257, 0, 0.0006324, 0, 0
258, 0, 0.00063925, 0, 0
259, 0, 0.00065065, 0, 0
260, 0, 0.00065135, 0, 0
261, 0, 0.000641, 0, 0
262, 0, 0.0006428, 0, 0
263, 0, 0.00063395, 0, 0
264, 0, 0.0006297, 0, 0
265, 0, 0.0006291, 0, 0
266, 0, 0.0006267, 0, 0
267, 0, 0.00062365, 0, 0
268, 0, 0.0006186, 0, 0
269, 0, 0.00062415, 0, 0
270, 0, 0.00062755, 0, 0
